"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11422-11","heavy",2000,0.4965,0.996235224217816,0.538123988825429,0.269819641478002,NA,NA,NA,NA,NA,NA,1.032881718651,0.53631664161509,0.364337475873548,0.0543533207616173,0.100743247466502,0.0670991031272733,1.01631060722016,0.950075659423343,0.356082498771182,0.0544979584797604,0.176559551861629,0.0706375213009547,NA,1.42300000000023,49.953
"11422-12","heavy",2000,0.468,1.01256854827442,0.508560081757692,0.230187603051876,NA,NA,NA,NA,NA,NA,1.02660180186942,0.52578069566707,0.295942021475607,0.0505858128810172,0.09364517615551,0.0672481821084924,1.01515496702774,0.900470760715357,0.312521819732195,0.054219055921317,0.177519372309838,0.0679529441091407,NA,1.41100000000006,44.9680000000003
"11422-13","heavy",2000,0.465,1.07409208105315,0.516743485244568,0.15770809821107,NA,NA,NA,NA,NA,NA,1.08133248579402,0.56855570134888,0.223056089809742,0.0536908323779375,0.095746661799366,0.067631365322369,1.07114127332414,0.995015133092679,0.230941090884947,0.0547808456912194,0.171533858275031,0.0669321730164595,NA,1.39999999999964,45.2950000000001
"11422-14","heavy",2000,0.479,0.97949216921582,0.550452620061795,0.187743590862137,NA,NA,NA,NA,NA,NA,0.99596461122214,0.567129210857238,0.236218803047513,0.0504889388559345,0.0933681145957964,0.0650748800472131,0.991399128106656,0.993008288328905,0.268100525311095,0.0516551459630507,0.193499877345655,0.0647535095169037,NA,1.41900000000032,39.6019999999999
"11422-15","heavy",2000,0.4945,1.0063296817469,0.518493983761493,0.157320729465789,NA,NA,NA,NA,NA,NA,1.05389354471787,0.407247905799087,0.230146711668,0.051123599110972,0.092204991425218,0.0679297535989296,1.04171614892648,0.728395205454981,0.257318827578364,0.0539024758037207,0.178322937865854,0.0687048679079627,NA,1.42599999999993,44.3179999999998
"11422-16","heavy",2000,0.485,0.997618653726182,0.446470963827363,0.290087041619875,NA,NA,NA,NA,NA,NA,1.01296268771845,0.432475414745714,0.356635873784719,0.0530410614924164,0.0972277590076665,0.0667314125298323,1.00262939150982,0.78049681807491,0.370471195614014,0.0552356985278316,0.187228605291506,0.0676083075350492,NA,1.4079999999999,44.5730000000003
"11422-17","heavy",2000,0.4805,0.989818534449034,0.451040251605511,0.255072137959382,NA,NA,NA,NA,NA,NA,1.02071253568335,0.41868752005716,0.316619227544162,0.0511690123934859,0.0993326875533548,0.0658921979242799,1.02521436744642,0.602678020257556,0.345870887951473,0.053716321878811,0.177173089338247,0.0670919911012596,NA,1.41699999999992,46.1750000000002
"11422-18","heavy",2000,0.4725,1.00523365378673,0.482074701290936,0.247343140578713,NA,NA,NA,NA,NA,NA,1.03939865744533,0.490168158612264,0.325019503928335,0.0510797538192692,0.101427397433273,0.0660595928795619,1.01513168792917,0.856898931647573,0.326356301072009,0.0544333626401924,0.186763951697515,0.0652093553335946,NA,1.40599999999995,49.2939999999999
"11422-19","heavy",2000,0.487,0.968013149939599,0.542676663375728,0.245187133590385,NA,NA,NA,NA,NA,NA,1.01265356076694,0.498874068452021,0.294739454655528,0.0513490353579721,0.094985003489498,0.0704651744487018,1.01040913653348,0.762787883697193,0.321934271496018,0.0539787916951658,0.180989959638365,0.0684240649623765,NA,1.41699999999992,45.7149999999997
"11422-20","heavy",2000,0.468,1.01250239549567,0.514301658392224,0.159595898869728,NA,NA,NA,NA,NA,NA,1.03712423954932,0.488853099377861,0.242656464155538,0.0521097061763912,0.0998279522697253,0.0687372492033918,1.02389061493591,0.835912723134312,0.2484339559121,0.0537476501074465,0.176930954172003,0.0676615648444908,NA,1.41100000000006,47.8379999999997
"11422-21","heavy",2000,0.4925,1.00340475230099,0.462678495992656,0.259262470069827,NA,NA,NA,NA,NA,NA,1.02853805249606,0.407562574413704,0.31622679827736,0.0513740046534667,0.0816856561046194,0.0685894528052891,1.02459669257907,0.686431860822287,0.349479379592099,0.0519680006241362,0.163312224704804,0.0661705255721495,NA,1.42800000000034,46.386
"11422-22","heavy",2000,0.4775,1.01265448945632,0.511472412352358,0.223774477054413,NA,NA,NA,NA,NA,NA,1.04510346885507,0.456331980718391,0.294733131796845,0.0506608923793295,0.0988866183460459,0.0660299606834346,1.02644165889041,0.818378581824575,0.310256275182139,0.0548545764356286,0.181637062631365,0.0673612253472519,NA,1.41499999999996,43.1480000000001
"11422-23","heavy",2000,0.467,0.982094261473483,0.531456875017579,0.193814899447568,NA,NA,NA,NA,NA,NA,1.0054807432324,0.527658505548276,0.255757644281331,0.0512761351200696,0.0945112422778389,0.0663568655576582,0.989079984977236,0.900625289846754,0.268442050519024,0.0546176736364405,0.168552144717682,0.067351488955543,NA,1.40800000000036,45.9490000000001
"11422-24","heavy",2000,0.4955,0.999877984237167,0.573144283996987,0.192484777969758,NA,NA,NA,NA,NA,NA,1.04412351572719,0.47257868403164,0.268996880609677,0.0528167837769945,0.0937012168735839,0.0709221376593412,0.995464565187808,1.06818049846732,0.290115697029276,0.0541792562221833,0.197004306980121,0.0679088349825926,NA,1.43600000000015,46.7439999999997
"11422-25","heavy",2000,0.503,0.988393841356196,0.479965017558452,0.294083359858058,NA,NA,NA,NA,NA,NA,1.04888322374077,0.33380296913191,0.370305901491788,0.051420806881114,0.0917507425552803,0.0669618189380618,1.02239955238409,0.666428380185959,0.358361294176162,0.054025099137942,0.150692860784288,0.0664524364343092,NA,1.42900000000009,52.2269999999999
