"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11430-19","heavy",2000,0.498,1.04461205630392,0.456958873292817,0.185013964815546,1.05763263283836,0.41846192041348,0.182384316172866,0.0359350995775457,0.061425646411415,0.0484955102033892,1.03864079233179,0.497125234096437,0.193666589328945,0.0371478911587022,0.0716248044881967,0.0477514531149247
"11430-20","heavy",2000,0.498,0.977417634183379,0.530453428984858,0.232370334859735,0.994651578866373,0.410108229251845,0.234580408047552,0.036880993369428,0.0451091225143854,0.0513431030023491,0.950998081811402,0.588943279749245,0.260134553461647,0.0387557081618003,0.0626193628623172,0.0500884665416412
"11430-21","heavy",2000,0.4845,1.00430098715549,0.469751838456228,0.24834434352014,0.980941183172342,0.517006306476191,0.265083958572257,0.0376595469435743,0.0616559055479991,0.0474631566967731,0.97149218955744,0.557123614469552,0.277571720389169,0.0384625577590737,0.0676073172900623,0.0471175865963526
"11430-22","heavy",2000,0.469,1.02066299417607,0.445410573205609,0.245496714170756,1.04923240485537,0.337389016356771,0.249159766149658,0.0349616252205485,0.0502710071364141,0.0489135346049229,1.02745391373333,0.432230566138227,0.263110081406011,0.0363933677820184,0.0640312272996287,0.0480863655354278
"11430-23","heavy",2000,0.493,1.03165926848259,0.508923817217042,0.2272735729104,1.02138246357449,0.593830924213422,0.235359853779704,0.0379904195004227,0.0715809536350166,0.0496637736704954,1.00359569864679,0.671285504126943,0.246378956136718,0.0389726060042467,0.0799920602801388,0.0491100724873541
"11430-24","heavy",2000,0.491,1.01025929438035,0.569283107959716,0.19281324426673,1.01848785206823,0.577200689912021,0.1967825949688,0.0381340922441211,0.0627561374756326,0.0503496215699016,0.99482052168568,0.677090052143358,0.21482883542912,0.039582709831943,0.0744451153807359,0.0497715581831514
"11430-25","heavy",2000,0.4825,0.991782614016942,0.471464324228827,0.307626193529584,0.999602743924517,0.44105921414254,0.317065887727036,0.035930264516607,0.051873759177782,0.0495746159073937,0.977966820702522,0.530129775134747,0.332408809151693,0.0371401705637126,0.0626548356624651,0.0489732315264703
"11430-26","heavy",2000,0.484,0.990377531384526,0.547374047164233,0.229537611726572,0.975335885987417,0.630509729946874,0.259140647521696,0.0384894811984042,0.0725176159757205,0.0496908346052972,0.969944556698217,0.653418434422075,0.264475961563137,0.0388653700535069,0.075529042411273,0.0495123773603515
"11430-27","heavy",2000,0.488,0.958319337347326,0.472826772860385,0.304536373508638,0.962574482983841,0.505027790982086,0.321162997961061,0.0380303613064095,0.0665125572606001,0.0496064401194936,0.948765925037354,0.560696955346084,0.331306419272719,0.038910179930117,0.0734232799934171,0.0490957008872381
"11430-28","heavy",2000,0.478,0.982849725599812,0.492587092867249,0.252545372850219,0.987115976668479,0.474025253186044,0.271872932683851,0.0378323698451055,0.060572977056182,0.0492200355334377,0.973045647245753,0.530210641115752,0.281548431935837,0.0387493821701919,0.0678437760220481,0.0488415093795362
"11430-29","heavy",2000,0.477,0.982089168778298,0.525493376505268,0.328445089852695,0.997182326852105,0.490827494447905,0.380503192428964,0.0392075625093249,0.0777729226326308,0.0500403320030346,0.990816275338517,0.517557372842684,0.383347703436734,0.0396657582080101,0.0813795113986584,0.0498558687204431
"11430-30","heavy",2000,0.4815,0.947355629339182,0.495411103643508,0.313817655887896,0.956979877378563,0.439171129011741,0.341185507139411,0.0373869119764474,0.0559371026393578,0.0481852101352495,0.937860293698547,0.518763793355062,0.356130649307699,0.0386477335453748,0.0660740446614858,0.0476380100496428
"11430-31","heavy",2000,0.486,1.01217246861515,0.517005908329358,0.220209775106192,0.992203168199894,0.65225038818423,0.248144993857747,0.0397955091516197,0.0793721236261566,0.0484444787575341,0.984620829912786,0.685707070953057,0.254570216141307,0.0402889105287252,0.0832646087057025,0.0482055372166166
"11430-32","heavy",2000,0.508,0.988305805039952,0.500298726707902,0.284887055609369,0.959197795106361,0.57736615466804,0.290124910026903,0.0375124492980297,0.0608415316498608,0.0490399420587981,0.941533202621471,0.656204412160507,0.314936563102007,0.0389744552704482,0.0718057369472343,0.0484276452938782
"11430-33","heavy",2000,0.477,0.988025118126675,0.430480051347575,0.277961669222216,0.964309797953744,0.498624663249918,0.247575783854933,0.0367425203372107,0.0565984765500544,0.0494333120117495,0.940598246374569,0.602551042136108,0.269892911272034,0.0381968040824305,0.0692980443180398,0.0486337952440256
"11430-34","heavy",2000,0.4715,0.955932670547227,0.514102993445656,0.230222918427783,0.932609670908897,0.700593057322372,0.214797485857601,0.0372193441976964,0.076171793002931,0.04905104807444,0.916879405415267,0.775150052175505,0.229051878977342,0.0382073254490724,0.0848944312198076,0.0485599056910159
"11430-35","heavy",2000,0.489,0.981320526789505,0.480744103877516,0.272049819929573,0.965435130756533,0.497937865095443,0.270499311030954,0.0370415250170561,0.0549145462506653,0.0495725136838276,0.937632676837621,0.6185314488871,0.293750774308152,0.0385544140703517,0.0681254235028475,0.0486862285113895
"11430-36","heavy",2000,0.488,0.970039974214332,0.470849456715845,0.262698977754323,0.973109575691183,0.488073717366841,0.249741689430516,0.0369814649451249,0.0630364556918716,0.0503904398688784,0.963672088006762,0.530097021790523,0.261139560201701,0.0376824910765554,0.0692045072646351,0.049898253282673
"11430-37","heavy",2000,0.5035,1.01841422461025,0.469855866379688,0.243402220049013,1.01759761489547,0.519056127311252,0.248310882446677,0.0364347037348245,0.0698728892505271,0.0493619500380763,1.00358596129877,0.582885534410945,0.258228602237115,0.0373307482006238,0.0778831549313878,0.048759200896602
"11430-38","heavy",2000,0.481,0.95062937325167,0.473183627425464,0.321165301300845,0.930319055263582,0.545859933981656,0.349895796396267,0.0380306465644262,0.069456314515327,0.0482259471132032,0.925219732145087,0.570752052415514,0.358999931222004,0.0386394458504946,0.0739738777110129,0.0479907553992122
"11430-39","heavy",2000,0.482,0.984366989254008,0.463952055141609,0.28180152971442,0.945857002254842,0.594064996921559,0.249406036892208,0.0375865367914867,0.0590905746198583,0.0486937610605953,0.927239540060172,0.671420238619207,0.262480137261778,0.0384282611277248,0.0662399048535643,0.0482092811345883
"11430-40","heavy",2000,0.468,1.02801123246901,0.432463059983853,0.223803354023372,1.018633271658,0.462332011792193,0.239170609216124,0.0371560854528285,0.064086160190269,0.0476952828860146,1.01165377682781,0.496473952955517,0.247569791521637,0.0377895569946655,0.0696020923785042,0.0474042309576159
"11430-41","heavy",2000,0.495,1.01764087850436,0.494844739095776,0.278704459703087,0.984994177084017,0.650195719317556,0.254140872409453,0.0386917357395135,0.0682963067849224,0.0500869388265954,0.969741432185615,0.715069908066687,0.270026441434745,0.0396046590034915,0.0756248042545101,0.0495509238726271
"11430-42","heavy",2000,0.4875,1.00472233631144,0.447409717109928,0.286179561742044,1.02007051656092,0.382608034847309,0.272511534048608,0.0353112094979157,0.0547610502898277,0.0489024287909603,1.00802822135346,0.427686695254937,0.282366989098772,0.0360869614322397,0.0610097881049323,0.0483369345658806
"11430-43","heavy",2000,0.4985,0.992913918445369,0.534893510146771,0.243286272637292,0.980092105997953,0.54563944315018,0.312807271909284,0.0393646179630382,0.0682876501498396,0.0489773284628804,0.973682465741046,0.576030309682342,0.319195361476854,0.0398412181031075,0.0722882863516594,0.0487553721645947
"11430-44","heavy",2000,0.501,1.00046685100228,0.417936155001154,0.283888368714087,0.978213024058835,0.526254001202991,0.293154440977912,0.0379379101422329,0.0743172120333444,0.0486453379291322,0.967887160515561,0.57481751748055,0.307569768531922,0.0390095343415781,0.0828013597471837,0.0480935223891484
"11430-45","heavy",2000,0.4695,1.0362925327725,0.494840042852217,0.211143588045526,1.04616989253242,0.502451628177805,0.190719236417648,0.0364107473428012,0.0609528315348457,0.0490155912525804,1.024672390299,0.598745469557365,0.207816043622972,0.0376901007197697,0.0726592992914405,0.0482790841617851
"11430-46","heavy",2000,0.484,0.960158348494963,0.506220926226937,0.280040840734278,0.93170410077947,0.596127082253658,0.289397939156166,0.0367557763179011,0.0624865228656509,0.0483489024027486,0.915099406301029,0.668106040001893,0.306781752732405,0.0378090631493757,0.07088048320135,0.0478357323957844
"11430-47","heavy",2000,0.482,1.00695932106467,0.495884789752522,0.281862258505943,0.97562592836907,0.602785162540077,0.287832132569367,0.0382223067969943,0.0688909651178134,0.0489697236752726,0.962312182515024,0.660569034451777,0.301858521756498,0.0391709622975479,0.0763284557496424,0.0485208659263475
"11430-48","heavy",2000,0.4795,1.01283613759522,0.474660706707423,0.273924865335818,1.02712862329194,0.481395189506585,0.276508580071829,0.0370815819615498,0.0671289677642232,0.0487848695384673,1.01571632275079,0.531004331688419,0.284941268797958,0.0379168169963631,0.074007923179149,0.0483902025881027
"11430-49","heavy",2000,0.5075,0.941641625688707,0.486568808514704,0.320894410592466,0.927168066041558,0.521819410852592,0.300359203533703,0.0382151996392885,0.0602870521503593,0.0506704149346833,0.914882982916759,0.569555500461212,0.313358887810254,0.0389892712594743,0.066185802902132,0.050155899361914
"11430-50","heavy",2000,0.486,1.01359286607972,0.490896206391423,0.215468528925218,0.995339186079949,0.531143567248624,0.226302548999517,0.0373405644014625,0.0626993159649331,0.0488343461499874,0.980660012257669,0.591768262064918,0.238535515776728,0.0382121665601691,0.069875148077649,0.0483437365186361
"11430-51","heavy",2000,0.4765,0.999406830767523,0.469767894736166,0.288128632923353,1.00084749488159,0.459705695842702,0.299788880213354,0.0375022515604367,0.0619528522277722,0.0487530103062554,0.992208180504513,0.492318344383843,0.306532157355027,0.0380844912076371,0.0662823277568099,0.0484609266490594
"11430-52","heavy",2000,0.5005,0.956994013295678,0.588508532393393,0.235629489966777,0.950487984072561,0.619192950192614,0.236281786023521,0.0379626279921886,0.0657802035774887,0.0493088642289626,0.938720484005337,0.666151509811334,0.244087174751422,0.0385980514297157,0.0706817751601016,0.0490083120814196
"11430-53","heavy",2000,0.491,1.03558749303525,0.484709743249713,0.212957953575625,1.06037625953457,0.397001452664236,0.194738544015711,0.036289245846599,0.0499166831172075,0.0510716506187702,1.02350092179192,0.547700380455929,0.216743618126378,0.0381071627641756,0.06638241698856,0.0496985396729522
