"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11423-11","extra_heavy",100,0.87,0.934989271257499,0.35829641923542,0.282012422379973,0.988550776348623,0.0503614092652499,0.172964888309792,0.250416076981326,0.139128484814552,0.761853815508749,0.70038666068334,2.21091416675014,0.320064624272069,0.534280195229911,3.1248239995173,0.321475108665237
"11423-12","extra_heavy",100,0.84,0.844281472098937,0.815935031686243,0.239864803786969,1.00742514059538,0.258071310159093,0.446149189690421,0.356313366485095,0.817256375164976,0.318028958969862,1.05330393269507,0.328395503330368,0.473853778647203,0.445326047802739,2.68370527471019,0.298306586630716
"11423-13","extra_heavy",100,0.83,0.94392242496387,0.360312761294595,0.617863222833594,0.970613596490718,0.0377226674284025,0.442758075494111,0.219175150213676,0.0560001454215713,0.565685339574096,0.779204093655299,2.08516395081625,0.693284137599863,0.409725183591703,3.1216058718911,0.300696791457314
"11423-14","extra_heavy",100,0.78,0.880928550658745,0.488896642998854,0.473702515512831,0.889634671651047,0.625982070359836,0.408993765480244,0.268482068852443,0.835658292047508,0.357054756841905,0.799780889597444,1.28249820457407,0.499871431169027,0.323403469068649,1.49799179086401,0.304707738738263
"11423-15","extra_heavy",100,0.85,0.874497025632288,0.321879093345161,0.574008966919917,0.903127200869436,0.0430657023768849,0.215432538471485,0.201927286889193,0.0512358864998761,0.65291759662554,0.773739547122481,1.72734634472681,0.672600935867421,0.432403317102858,3.9981155832637,0.29450117597536
"11423-16","extra_heavy",100,0.86,0.947069036406061,0.428388161541821,0.405502983608908,0.638634703241316,0.125803448090281,0.539923135626411,0.443577861112778,0.103627440663768,0.293884673346947,0.524396955839768,5.06803922914923,0.481204874783178,0.509710253962138,3.96080545561355,0.306134807022042
"11423-17","extra_heavy",100,0.87,1.09024397612853,0.756678550522135,-0.0600860485607664,1.27517685581543,0.0290834133555098,-0.358284513843005,0.227194685361418,0.0469383210407137,0.966638236794178,0.978960061751652,2.48704376820726,0.0774607453124528,0.457112989793651,2.92713430733331,0.339907211811324
"11423-18","extra_heavy",100,0.74,0.84767620993132,0.834785537477088,-0.074590215205649,0.944805085780167,0.597683038985548,-0.086206802757523,0.198996408456472,0.572819862308356,0.397446284221414,0.904252597808539,1.52203384166884,0.173070930167999,0.305084768905113,2.67741135974319,0.298804845290469
"11423-19","extra_heavy",100,0.83,0.922082320346646,0.634708157712192,0.311527220769989,0.978787887399439,0.0447749984576685,0.0490476072862905,0.252044144873399,0.036462883921291,0.494315738180848,0.776055382766393,2.32233388924418,0.482109420467973,0.422075224195677,2.63371053533746,0.333613536495563
"11423-20","extra_heavy",100,0.8,1.06794930675027,0.329608515327802,0.179535705365582,1.06377111690862,0.806337313107916,-0.0116478306500587,0.234357869481462,1.45160882323239,0.618718910831242,1.17723235505199,-0.340322351033609,0.331389008267054,0.362184564114536,3.42898023167939,0.425414743207874
