"sim","censoring","n","subdivisions","perc_censored","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","time_extrap","time_extrap_no"
"11429-40","extra_heavy",500,750,0.82,1.06643597912921,0.288972994308996,0.322836051637544,0.152113610427958,0.46301034624501,0.136429588617718,6.274,NA
"11429-41","extra_heavy",500,750,0.824,0.992092847452534,0.380246710970873,0.414111493343926,0.160365318630388,0.362600688218882,0.134967477072002,5.57500000000005,NA
"11429-42","extra_heavy",500,750,0.846,0.9180548048087,0.293112025714895,0.280140503290108,0.123587019536401,0.149447955262911,0.181052953453125,4.06299999999999,NA
"11429-43","extra_heavy",500,750,0.816,1.15718542676877,0.237960182359456,0.385704813665748,0.137376251623021,0.543372257278626,0.168585727163314,6.61399999999992,NA
"11429-44","extra_heavy",500,750,0.826,0.790285825005411,0.853670516355494,0.233196715248775,0.138542008904458,0.340660224538722,0.142262376820604,4.90200000000004,NA
"11429-45","extra_heavy",500,750,0.812,0.888348286088257,0.866065987765502,0.365306453175042,0.143427133757325,0.555693483562024,0.150321675153091,5.94200000000001,NA
"11429-46","extra_heavy",500,750,0.812,0.96812605746166,0.64277452377111,0.212203549844506,0.14940386942958,0.34824586305594,0.143095152875338,5.05100000000004,NA
"11429-47","extra_heavy",500,750,0.808,1.01803964372725,0.0742150348845207,0.299170801278235,0.0972033785666073,0.0788706499120991,0.241033903005797,2.91800000000001,NA
"11429-48","extra_heavy",500,750,0.816,0.95984256925475,0.557423086636596,0.111720845124964,0.122160542376446,0.200226094220361,0.145146327281437,4.39600000000007,NA
"11429-49","extra_heavy",500,750,0.822,1.1499508801993,0.455578965146325,0.158624687268769,0.125567683841031,0.367106063171821,0.185901970812252,5.32799999999997,NA
"11429-50","extra_heavy",500,750,0.834,0.998030177539496,0.225762808711637,0.211773304696853,0.105738758643814,0.149272403496612,0.225470627236188,3.91899999999998,NA
