"sim","censoring","n","subdivisions","perc_censored","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","time_extrap","time_extrap_no"
"11433-34","light",100,200,0.12,0.817431753155705,0.0190955353773999,0.663921373793219,0.208432148427765,0.448260514529327,0.313110319223183,0.859999999999985,NA
"11433-35","light",100,200,0.18,0.833173031778855,0.689620260024293,0.119299832254757,0.182957817627111,0.214732744061612,0.274101264667506,1.012,NA
"11433-36","light",100,200,0.21,1.18688916794706,0.254853438326046,0.262191341995327,0.207768987863111,0.141181200278372,0.282251274877133,0.937999999999988,NA
"11433-37","light",100,200,0.13,0.950236482658448,0.776626087552518,0.389445992997487,0.194030167846321,0.289779050384579,0.299635590824676,0.978000000000009,NA
"11433-38","light",100,200,0.14,0.723688515099097,1.23120645381504,0.202051663737718,0.177794228653903,0.393315151214084,0.263504922100228,1.012,NA
"11433-39","light",100,200,0.27,0.951796753880486,0.446561993732591,0.480900444962484,0.199172550128367,0.261904658295251,0.283741151885679,1.03200000000001,NA
"11433-40","light",100,200,0.12,0.994439735935325,0.526470125069909,0.205882734190174,0.191990001366011,0.283361227460008,0.274717320128434,0.963999999999999,NA
"11433-41","light",100,200,0.19,1.08244268857784,0.479015718312925,0.190022856211258,0.243275277157679,0.369662234073966,0.302815973778721,1.00200000000001,NA
"11433-42","light",100,200,0.2,1.00679381905565,0.346608128236087,0.35889328920046,0.256483184751738,0.265682996614168,0.340175151962165,1.42500000000001,NA
"11433-43","light",100,200,0.16,1.00012050060923,0.877815465045268,-0.0724057557372067,0.211147548014411,0.346936012318203,0.292228620216488,1.21900000000002,NA
"11433-44","light",100,200,0.2,0.759093630029664,0.545794881523938,0.154755904803327,0.217494153671557,0.23952250445021,0.283665582463336,1.24800000000002,NA
"11433-45","light",100,200,0.17,0.991141191681115,0.558648551855333,0.211314234269817,0.245645835060138,0.26264002390373,0.312616715401737,1.13999999999999,NA
"11433-46","light",100,200,0.17,1.11701765513044,0.139573245803121,0.392997912147377,0.269401966374615,0.302238970910137,0.343708139592268,0.97999999999999,NA
"11433-47","light",100,200,0.14,0.703318424965738,1.04652809905238,0.486170255454325,0.193027631942862,0.323826880336607,0.241632044779159,0.85499999999999,NA
"11433-48","light",100,200,0.21,0.957336191006397,0.778407570936072,0.109066203495794,0.219688283011345,0.344012018501366,0.289359004474137,1.16600000000003,NA
"11433-49","light",100,200,0.17,0.608456447628071,0.627978716136276,0.723270522107822,0.225918057948001,0.332378236664439,0.300881295052446,1.06299999999999,NA
"11433-50","light",100,200,0.19,0.892370669425237,0.221491654373723,0.526801459142187,0.190190356078658,0.323336684931417,0.307382728868553,1.03900000000002,NA
