"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11425-11","heavy",100,0.47,1.08002372720542,0.457147251171921,0.109478657214891,1.03700872239017,0.430169432334057,0.141783133048547,0.239809963314505,0.395417815795637,0.269963605930964,1.02770196138556,0.524800345997229,0.138931329499887,0.24726911912868,0.475883955291285,0.268939356669211
"11425-12","heavy",100,0.5,0.901615697921702,0.58562629792627,0.434040691663587,0.823232246791019,0.918286836048726,0.412030730817634,0.26734384713958,0.567450906169222,0.344859537049131,0.773906000879671,1.1485471133814,0.412906713629158,0.27521527159751,0.636205556136961,0.333626725931367
"11425-13","heavy",100,0.56,0.947324066579691,0.435564885855621,0.41117498926758,0.974109941847521,0.308097122575287,0.448968698025586,0.207929530934434,0.242442012694702,0.317255319330561,0.946069930714824,0.411128775542911,0.449334096635248,0.213574653119695,0.310659773868877,0.311045318141104
"11425-14","heavy",100,0.49,1.00827000858679,0.569066559232491,0.368470856733213,0.925755688491282,0.822728972125327,0.416247230160654,0.243452279422315,0.40130536054871,0.307939380278826,0.889391384842494,1.05700364917217,0.459322628888776,0.251093973924489,0.551357139916594,0.302226854753408
"11425-15","heavy",100,0.47,1.01090782509518,0.182631934740357,0.328109134967186,0.985741118517652,0.186505849541682,0.342769586405049,0.217519054840282,0.316618740366358,0.264601347526505,0.975200339020698,0.251103000376062,0.344539433271409,0.230353452841525,0.382064329197938,0.257889940737824
"11425-16","heavy",100,0.49,0.846833822749302,0.920639580606196,0.237616787881066,0.819465335834709,1.01860708536257,0.371764091215759,0.262824910900508,0.645058870114826,0.330763271945588,0.81896699273967,1.07467225848079,0.390572371208186,0.262437855060635,0.698513598994118,0.331940626595623
"11425-17","heavy",100,0.45,0.983924763807169,0.350040595413157,0.27604676180773,0.926605518490479,0.396755671910162,0.319885486788877,0.245615124241291,0.355882351957101,0.29687359370803,0.916988755873003,0.488036866033264,0.321848894623592,0.25677217019725,0.446439994865997,0.29458883252922
"11425-18","heavy",100,0.46,0.895853348090098,0.302992835366475,0.373690143428312,0.907652407418723,0.298918557393534,0.336948148611512,0.207175428756121,0.280716371926482,0.272594496857057,0.871537245210988,0.390837613390228,0.357469219138521,0.212343905609727,0.337710176953577,0.270843550852477
"11425-19","heavy",100,0.47,0.868217532132213,0.554909807218624,0.417981174324006,0.817954711397218,0.686807209383569,0.533561296271264,0.217288951735249,0.510328758583221,0.278011951152443,0.81964972915135,0.759335741572874,0.541282357958506,0.229419240592672,0.613962729556036,0.283714725854027
"11425-20","heavy",100,0.55,0.913267400309103,0.680737549119515,0.45381825660749,0.76514743962266,0.958760346736849,0.461164422163301,0.285176583955894,0.441100204289534,0.307048031640506,0.723144547436631,1.16631256075214,0.494790199148152,0.296817738996637,0.543691626638992,0.306231718073445
"11425-21","heavy",100,0.56,1.12060046390321,0.55318502685564,0.191822268885594,1.30357038567039,0.0658538767489638,0.261739531840079,0.282247884460292,0.416645839870773,0.313684307350423,1.33159903195511,0.0109917482584077,0.265380227505797,0.299545203859088,0.640192995910536,0.307938705506005
"11425-22","heavy",100,0.47,0.87638437374002,0.693235108096532,0.246833585094424,0.767453553636018,0.939080493650269,0.219459589743141,0.241089358803574,0.374143543608687,0.27923328919271,0.729361507735475,1.14958264554275,0.241634832223534,0.2507677873275,0.443074187209162,0.27829098737768
