"sim","censoring","n","alpha_d","beta_d","gamma_d","alpha_e","beta_e","gamma_e","alpha_w","beta_w","gamma_w"
11935,"extra_heavy",2000,0.987000957239958,0.894235499186208,0.34990392411182,0.985033034999895,0.927328830262858,0.348989088144653,0.987124440138591,0.904739840004481,0.35384476321962
11936,"extra_heavy",2000,0.998606845437684,0.558741061276688,0.348403989687025,1.0006978654644,0.542816844768617,0.34839952854054,0.998778599689983,0.548391547900819,0.349001797954563
11937,"extra_heavy",2000,0.940161084798736,1.41962157712901,0.271207616925487,0.940209076353418,1.41188833285867,0.270440606547336,0.93835664935968,1.41465027456129,0.272607150289923
11938,"extra_heavy",2000,0.992367991871627,0.868047473141983,0.352007008050896,0.990863230276918,0.868950364883986,0.350124706582028,0.992594822782222,0.862157615900747,0.349816295356806
11939,"extra_heavy",2000,0.990623039105017,0.746174955603491,0.380566228344031,0.990943036758189,0.745455119826591,0.378203403761845,0.991469987999816,0.727265923473552,0.383208151237941
11940,"extra_heavy",2000,0.953898644884844,1.23054994568955,0.365497343738161,0.952445829486759,1.20936221240152,0.368294179098694,0.958080832501173,1.18296228045409,0.363753744718391
11941,"extra_heavy",2000,1.08986677069332,0.97345383559035,0.302273425252939,1.09105193043875,0.958386050275756,0.302985505597176,1.08913691225271,0.956276794467234,0.30605802060034
11942,"extra_heavy",2000,1.00116116952654,0.701565327744182,0.38643311154384,1.00097019369657,0.684781183102106,0.385951976899697,1.00115380050093,0.700113813823733,0.383498162991048
11943,"extra_heavy",2000,0.952976084456206,1.03281156042536,0.393795919450889,0.952947252394148,1.07130096333287,0.391016593902667,0.95301683508353,1.05856833958799,0.388656159272541
11944,"extra_heavy",2000,1.00899433370121,1.13230076824739,0.296074423949059,1.00893306487423,1.14340796479739,0.292698793151566,1.00918447369918,1.12077501410773,0.295286285937873
11945,"extra_heavy",2000,0.959356288450811,0.80003305783337,0.363444557073172,0.959841613836862,0.876230698006856,0.359301253994694,0.95986338264632,0.821800309487199,0.362778543090261
11946,"extra_heavy",2000,0.883366109120484,1.1908858826318,0.319091789319884,0.882886976399156,1.28107830856272,0.314643472125625,0.886051156078375,1.24469782390715,0.314154245344753
