"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"114-32","heavy",500,0.394,0.994027865299988,0.657255052697281,0.212470389312038,0.995101543392012,0.658841389035144,0.212174268018372
"114-33","heavy",500,0.404,0.790408001891157,0.71698088854265,0.599662291979323,0.783345124348443,0.743722699025231,0.600425230136069
"114-34","heavy",500,0.418,1.05210398063743,0.524843426400748,0.306803947241434,1.05276286067635,0.536185445024678,0.306073920864388
"114-35","heavy",500,0.406,1.14307075048084,0.35321518074751,0.185615004968733,1.1424428895137,0.360113983046748,0.185602276472812
"114-36","heavy",500,0.412,1.02267065949829,0.34632044314506,0.290081353322143,1.02341333451833,0.352257633690649,0.289078388107507
"114-37","heavy",500,0.444,0.769365605911209,0.772155682327564,0.573888575517225,0.770645857953786,0.771681153339607,0.573793964932776
"114-38","heavy",500,0.402,0.820555692790145,0.698432571492342,0.468519331823848,0.822554499641024,0.701369133437783,0.467062467474862
"114-39","heavy",500,0.41,0.829485090074564,0.638758847485819,0.304870891273044,0.82873893634834,0.657428995847781,0.30508024452087
"114-40","heavy",500,0.438,0.799764259959654,0.891130625073917,0.244534679947701,0.801213177585167,0.90434678991041,0.244340226986536
"114-41","heavy",500,0.44,1.13121459962943,0.25645050779907,0.356516853138572,1.13217052057482,0.256586624273378,0.356634100437577
"114-42","heavy",500,0.41,0.830433822220531,0.590894798585306,0.586916251375538,0.83278516547676,0.592005826530147,0.587239286480602
"114-43","heavy",500,0.372,0.961264455226053,0.653560410399024,0.190020624143316,0.959805040992713,0.698376333161611,0.189022190711689
"114-44","heavy",500,0.456,0.807337653163559,0.508223351088,0.473802746985156,0.80817312785526,0.506762254611754,0.473641125170038
"114-45","heavy",500,0.416,0.925334797345347,0.67846095151841,0.143493969259852,0.925589844097936,0.67989608083544,0.143206449523308
"114-46","heavy",500,0.436,0.823659591799344,0.988845284421563,0.319322207400107,0.816453414952816,1.06991811170403,0.320098544144424
"114-47","heavy",500,0.418,0.988068949296958,0.442595940292966,0.210632598457696,0.988204259558095,0.465487242550035,0.210167242314369
"114-48","heavy",500,0.4,0.909862203508806,0.479031081767796,0.383915905365868,0.912685861110725,0.475805990382579,0.383597737876762
"114-49","heavy",500,0.412,0.942663208501962,0.309132813572775,0.327132643372553,0.944894613338139,0.307322278407412,0.326248624354197
"114-50","heavy",500,0.368,0.878549147091038,0.693619150961871,0.486292377629973,0.878625694802914,0.696471849744166,0.486493006762209
