"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"129-37","heavy",1000,0.405,0.925732976232978,0.521649123474259,0.33290451858603,0.924526567320677,0.541956731326703,0.333967153405869
"129-38","heavy",1000,0.391,0.89018031893061,0.602538671004342,0.405365918447331,0.889250571112796,0.611293182289769,0.405320083814964
"129-39","heavy",1000,0.392,0.897867775742252,0.482097795566801,0.428373478957722,0.897678377097555,0.487695523298152,0.428397999519616
"129-40","heavy",1000,0.396,0.953462955748598,0.693271230260871,0.315003228749996,0.953449739536662,0.703761118133715,0.315152863373302
"129-41","heavy",1000,0.393,0.934998405850059,0.696703792626712,0.36696816666232,0.936629796307702,0.695473651026613,0.367118889002334
"129-42","heavy",1000,0.41,0.976703596463915,0.485201550182562,0.310088989366741,0.974332086200139,0.512830118062563,0.31099924595711
"129-43","heavy",1000,0.44,1.08333354336252,0.355443724158185,0.338424434229224,1.08245291834935,0.377479340218177,0.340529489425298
"129-44","heavy",1000,0.416,0.930190267121599,0.572924205751785,0.393316035451287,0.930609691785852,0.574630686636831,0.392940399689105
"129-45","heavy",1000,0.41,0.860578735857602,0.837285271153491,0.272571104210627,0.860724783176821,0.839141229071743,0.272503694288261
"129-46","heavy",1000,0.409,0.817176492943427,0.595795553658331,0.502469390553298,0.81632140043611,0.606042598880051,0.502589722810493
"129-47","heavy",1000,0.398,0.88857025359708,0.63225270769409,0.402352653666637,0.888523949886152,0.642623215371672,0.402468490294443
"129-48","heavy",1000,0.384,0.981983943463042,0.427088391692227,0.241643528365372,0.982956881056067,0.429190418043633,0.241603956082461
"129-49","heavy",1000,0.42,0.940585530806626,0.507853712585346,0.42293162565642,0.94030502546604,0.512833463982534,0.42266431841963
"129-50","heavy",1000,0.397,0.930351814172482,0.611581395805761,0.424215579518996,0.93064440042833,0.615382191220786,0.424237230365454
