"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11429-36","heavy",500,0.5,1.0222003942726,0.428400721852979,0.216591860278128,NA,NA,NA,NA,NA,NA,1.00230746115793,0.522032705840037,0.241603569910442,0.103494774984438,0.213391954047102,0.134584717360458,1.00106981191656,0.507678441677035,0.248154739362504,0.108909839590861,0.205458812571743,0.133449761991088,NA,0.762,0.725000000000023
"11429-37","heavy",500,0.51,0.921366361881638,0.539756984563844,0.305912014548143,NA,NA,NA,NA,NA,NA,0.935754621039589,0.550959003047925,0.312781207922296,0.100940438100114,0.198157508873663,0.142445699238643,0.917757518084465,0.60727783199847,0.317626649297188,0.100778893336541,0.215671317005844,0.135364325425725,NA,0.757000000000005,0.810000000000002
"11429-38","heavy",500,0.474,1.04021139047189,0.51565910555403,0.177443620418036,NA,NA,NA,NA,NA,NA,0.990686530920944,0.694728247528335,0.244017413810783,0.110136001207493,0.230371693132351,0.140108034942697,0.99516023706252,0.678452793573235,0.258125185373635,0.115364051856928,0.235029115473323,0.139399343978478,NA,0.654999999999973,0.643000000000029
"11429-39","heavy",500,0.466,1.03106944470199,0.488279761522336,0.29668709593697,NA,NA,NA,NA,NA,NA,1.0211434873304,0.61512550598348,0.255255986488258,0.111671480777166,0.208226675199738,0.146623498123003,0.989294723449647,0.761860634289936,0.288162017144794,0.111866501542846,0.246599126186181,0.147892212382571,NA,0.857999999999947,0.744000000000028
"11429-40","heavy",500,0.528,0.946484038667765,0.489176712358334,0.310297524013844,NA,NA,NA,NA,NA,NA,0.96393543574473,0.45506005819082,0.368368167599694,0.118038007910646,0.223842861564794,0.132912455295323,0.965495774415626,0.437025879831722,0.382750408547088,0.120177177898618,0.231026769070073,0.137211565011864,NA,0.828000000000088,0.822999999999979
"11429-41","heavy",500,0.506,1.00533756950565,0.378648506471509,0.300145534277324,NA,NA,NA,NA,NA,NA,0.912474132085752,0.542260854676726,0.330011116512011,0.108137310460646,0.160481648924483,0.132719438969506,0.892468607323351,0.685187992836946,0.356193452056601,0.115328755613652,0.216091908689118,0.13064842563244,NA,0.826000000000022,0.784999999999968
"11429-42","heavy",500,0.52,1.06195771829572,0.555819125304563,0.221647471957781,NA,NA,NA,NA,NA,NA,1.00239132674224,0.744771976316584,0.169227248718378,0.108543408681671,0.181050213553192,0.139718170099601,0.997267318562436,0.747805598462004,0.187384366116381,0.107574895355549,0.182436598607204,0.13712827508295,NA,1.19200000000001,0.968000000000075
"11429-43","heavy",500,0.49,0.893750473677342,0.447333512042535,0.367768017134715,NA,NA,NA,NA,NA,NA,0.941455395960493,0.300498424332665,0.406079785854538,0.105924199091056,0.184474403431804,0.136148988850399,0.943865055511195,0.306187282003512,0.412484109928541,0.102578552854578,0.186332786993085,0.131248906253646,NA,0.655999999999949,1.01700000000005
"11429-44","heavy",500,0.484,0.935233196831551,0.561643815933449,0.322508809644552,NA,NA,NA,NA,NA,NA,0.880063803000195,0.815655072159842,0.27427356743161,0.112809843197115,0.227613779745488,0.147148256678978,0.874875787234528,0.817158521883886,0.296556232792715,0.11690406288626,0.233050233757078,0.143630419437808,NA,0.841000000000008,0.650999999999954
"11429-45","heavy",500,0.492,0.928753298732922,0.45243668794,0.419559706538828,NA,NA,NA,NA,NA,NA,0.914124576456797,0.534780839309993,0.396586639263013,0.111508668068211,0.178710417653709,0.138559844860846,0.895721973881214,0.617256755838679,0.403757431712137,0.115685343566083,0.206221049605495,0.135827547711869,NA,0.836999999999989,0.846000000000004
"11429-46","heavy",500,0.47,0.939501784233652,0.450207339845863,0.360723759782892,NA,NA,NA,NA,NA,NA,0.836310832531634,0.804500505982372,0.30157429985089,0.0994902171787138,0.178776306302059,0.135348174260317,0.830616812417395,0.866688642452827,0.321348248931276,0.0997614734827548,0.18613938890315,0.134811094043444,NA,0.738000000000056,0.801000000000045
"11429-47","heavy",500,0.476,1.03089244570694,0.443000363698406,0.179413192575469,NA,NA,NA,NA,NA,NA,1.03368578747345,0.419742645680177,0.168922350039122,0.098701785099773,0.160337137176586,0.122915840879628,1.01236974664681,0.473537156770123,0.186701321620647,0.101679430797973,0.171794312717467,0.126688823701357,NA,0.712999999999965,0.699000000000069
"11429-48","heavy",500,0.512,0.91087147612261,0.475339344337959,0.498493048941722,NA,NA,NA,NA,NA,NA,0.937778474703495,0.378016705129567,0.498067947461115,0.103627092619563,0.162531667106006,0.136269060523724,0.921325309741827,0.45158988989947,0.511254374818099,0.105175571657596,0.188493786836643,0.131344624892016,NA,0.668000000000006,0.786000000000058
"11429-49","heavy",500,0.44,1.01960339578084,0.618152394131156,0.214373177134423,NA,NA,NA,NA,NA,NA,1.01162530749662,0.689476940894014,0.254551436998619,0.110215523128624,0.248030512929144,0.135598776039794,1.00366633261105,0.721053375691928,0.243916300299258,0.113021916491498,0.258627576003612,0.134694790189095,NA,0.796000000000049,1.08899999999994
"11429-50","heavy",500,0.464,1.06658110006772,0.501514542074525,0.181055390902842,NA,NA,NA,NA,NA,NA,1.05110213582662,0.713803450424556,0.210242988818517,0.109077802621082,0.298581659317119,0.155360734605879,1.0383260949536,0.795887563925723,0.199435062512209,0.109221464466017,0.301395279996725,0.150356393671157,NA,0.745999999999981,0.896000000000072
