"sim","censoring","n","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m","conv_msg_cf","conv_msg_m"
12144,"extra_heavy",2000,1.03648397192585,0.595570960062562,0.252637656259507,1.03994372066687,0.623000804834413,0.245856934590098,NA,NA
12145,"extra_heavy",2000,0.973443451116276,0.663881765616962,0.334711848951542,0.973535252782884,0.671882241438554,0.327143288725927,NA,NA
12146,"extra_heavy",2000,0.930761364087596,0.677372934612382,0.383363995624654,0.932510959060778,0.679161141294979,0.380009876959243,NA,NA
12147,"extra_heavy",2000,1.0359719379553,0.383217370832502,0.241403714254684,1.03887624167939,0.379550919420177,0.243442997279665,NA,NA
12148,"extra_heavy",2000,1.00225073387942,0.507077050107719,0.228418562438053,1.00395374814994,0.502823537478247,0.228785096448111,NA,NA
12149,"extra_heavy",2000,0.932764871385885,0.992113235885753,0.280034376485152,0.934586205657858,1.12772190935759,0.26560553104862,NA,NA
12150,"extra_heavy",2000,0.976706485251026,0.42810314339767,0.399695167971691,0.974130989093405,0.431818699130628,0.401886332901564,NA,NA
12151,"extra_heavy",2000,1.07424160019571,0.380129473300052,0.185242554374962,1.07268088136693,0.38744887654134,0.17885665475063,NA,NA
12152,"extra_heavy",2000,1.01205449997658,0.539185162331441,0.122287148603284,1.00977151658603,0.543286486419948,0.123323318392971,NA,NA
12153,"extra_heavy",2000,1.0233579110606,0.321242856518177,0.300251739536423,1.02291335603351,0.323804065047217,0.300970998265163,NA,NA
12154,"extra_heavy",2000,1.01617132022754,0.652713896243463,0.3435901717281,1.01529806377682,0.663141794217321,0.341034331921418,NA,NA
12155,"extra_heavy",2000,0.983430447728422,0.544109531770034,0.167060129615777,0.98656311347759,0.537318362047674,0.167812302474986,NA,NA
12156,"extra_heavy",2000,1.04928098951715,0.61049434699192,0.204538235993388,1.04990910899986,0.61505459058324,0.204975669285139,NA,NA
12157,"extra_heavy",2000,0.905645350507879,1.34983581044782,0.22914123124329,0.901529508481001,1.44796387011253,0.225859614939646,NA,NA
12158,"extra_heavy",2000,0.987350904847926,0.543689347772692,0.17358837292278,0.989480941338128,0.537376657723066,0.177432168968743,NA,NA
12159,"extra_heavy",2000,0.982439518941318,0.639330327100633,0.228728534592045,0.986494612082315,0.637498687394739,0.228579854101972,NA,NA
12160,"extra_heavy",2000,0.966510004636485,0.646030106236239,0.157013501210879,0.964094284785912,0.648187470435469,0.155767233553193,NA,NA
12161,"extra_heavy",2000,0.954649918580041,1.15233287524506,0.181814876735477,0.956291778433206,1.17258824871865,0.181923424765092,NA,NA
12162,"extra_heavy",2000,0.972306990584286,0.688903313179371,0.211527595997151,0.973510627393649,0.695989210356245,0.208634262271015,NA,NA
12163,"extra_heavy",2000,1.02218457206197,0.748563202283779,0.182036192277624,1.02283711527516,0.745519860707035,0.180738837241825,NA,NA
12164,"extra_heavy",2000,0.96629144557134,0.416302010841042,0.28424856883305,0.965068542264207,0.418269320383482,0.285131702979246,NA,NA
12165,"extra_heavy",2000,0.920827839411448,1.20237819239524,0.250146874450706,0.926917634103,1.20946760504617,0.249179086160475,NA,NA
12166,"extra_heavy",2000,0.970764997772756,0.661248994480525,0.339266022272965,0.972999166751325,0.653612792050053,0.342343476435215,NA,NA
12167,"extra_heavy",2000,0.9856904534874,0.504295729035559,0.266168065259973,0.986123995126114,0.500561643035516,0.268151904437443,NA,NA
12168,"extra_heavy",2000,1.02046697076595,0.434586492703362,0.317910512028152,1.02265528414352,0.427683708106221,0.321253247947322,NA,NA
12169,"extra_heavy",2000,0.974354795029801,0.870212477705845,0.237348308165394,0.979072800500669,0.936221200116975,0.226770269512505,NA,NA
12170,"extra_heavy",2000,1.00812708371432,0.692919557497403,0.349256743967211,1.01181628283785,0.708926951122089,0.345413110187377,NA,NA
12171,"extra_heavy",2000,1.10641150260004,0.454419908157905,0.12250590686272,1.10852942427611,0.451622166329679,0.121861032059343,NA,NA
