"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11429-17","light",100,20,0.16,1.10893133184946,0.457736608516385,0.183709231811383,1.05980125696761,0.653137026744338,0.155905053408212,0.15316827031071,0.163256161688864,0.217429180978231,1.06764801167737,0.602423746825755,0.163204792514474,0.152987668814748,0.152178759471458,0.217478772543667,0.273,0.263000000000002
"11429-18","light",100,20,0.22,0.8388326872895,0.81281357664308,0.00834044681686125,0.838082787336662,0.715531914932072,0.0573777899038441,0.168861301158415,0.213011959225154,0.214832495582877,0.83582733438673,0.712632886073506,0.066518423461395,0.169273698757578,0.212725824495339,0.214018526502617,0.274999999999999,0.280999999999999
"11429-19","light",100,20,0.17,1.05115530432877,0.219881462919595,0.405247186248033,1.05066624214146,0.266592502863369,0.3802720054456,0.134029443759275,0.160553952315239,0.182168907020965,1.05194585499834,0.258421496844572,0.372674907470183,0.132986014054794,0.147279509662491,0.182431448559296,0.266999999999999,0.315999999999999
"11429-20","light",100,20,0.29,1.35526467503224,0.362566914195278,0.112772119775449,1.217938793517,0.794244600033191,0.0808562529393936,0.140127929802156,0.222424839488824,0.194001827209295,1.19722483417199,0.84379072221631,0.0847202020643711,0.141675715794964,0.230444817387257,0.192473074858507,0.287000000000003,0.298999999999999
"11429-21","light",100,20,0.09,1.32927767999472,0.537364427484917,-0.0473847152712232,1.32865316591021,0.570072508930679,-0.0601442425158704,0.164842878426724,0.197099092758441,0.226538949728286,1.32592971399711,0.562467446594749,-0.0565516358328522,0.165275281790844,0.19566503204185,0.226399545928412,0.245000000000001,0.256
"11429-22","light",100,20,0.14,0.93601523356901,0.578533348698542,0.0144435633632775,0.895843318387244,0.733522947117985,0.0838534386682495,0.14938936539701,0.194971781544541,0.217386073279367,0.92210501421183,0.634225912127735,0.0781251350110238,0.147318936561648,0.169294845852387,0.217783526643009,0.251000000000001,0.257999999999999
"11429-23","light",100,20,0.18,0.9442345135201,0.306210910544684,0.636963156901724,0.961001922383563,0.199177822037813,0.677422849612129,0.155021363786099,0.167898746868688,0.212680460118085,0.960468665994809,0.198852793747467,0.673397946138574,0.154461648574218,0.160794056780784,0.212848005594418,0.262,0.276
"11429-24","light",100,20,0.17,1.44652606361195,0.184024321370771,0.101149571604439,1.41304548617367,0.307543387577943,0.0946534031287382,0.173618028016211,0.254519568455348,0.208320916507186,1.41494441991704,0.301449276844492,0.0946203893459246,0.173373986489115,0.252593297852679,0.208483167431049,0.254999999999999,0.27
"11429-25","light",100,20,0.1,0.722547875747984,0.501751736775792,0.547402157626621,0.676639749231867,0.631226564631546,0.565589145641818,0.164455675071421,0.204522633735689,0.198103656913351,0.67207000039701,0.651946943558015,0.561021889671153,0.164665173805236,0.208991680584574,0.198122188970144,0.244,0.248999999999999
"11429-26","light",100,20,0.17,0.753180538712139,0.658041713479008,0.445696739835409,0.722198625405389,0.773008566501819,0.474843638177986,0.139283065774835,0.198426012717062,0.193070758414973,0.728092837350839,0.727385482485546,0.485409590136153,0.14002778591491,0.194822437472229,0.194011780096699,0.269000000000002,0.272000000000002
"11429-27","light",100,20,0.15,0.924484572306983,0.590491744649294,0.112986509982439,0.945955351169864,0.553506369907434,0.143880183880414,0.156440002391019,0.199700953969823,0.206514380022972,0.949929387590094,0.544712709370992,0.134661435739992,0.155436113036416,0.195105959594079,0.206715497327577,0.251000000000001,0.274999999999999
"11429-28","light",100,20,0.12,1.02080943043406,0.403491386057861,0.3262377454207,1.03037836207874,0.371536014759376,0.317701034709924,0.162424860078675,0.217621344350952,0.231045657595953,1.04173694168301,0.319123946160335,0.330169460128359,0.162597006918745,0.208207142823819,0.231091711258478,0.245000000000001,0.254999999999999
"11429-29","light",100,20,0.21,1.21615913674799,0.58916142535961,-0.207312036198115,1.16062521959332,0.742550540493438,-0.178399456102891,0.161693368344686,0.224306706056275,0.226735682098038,1.16844797615971,0.718111079524637,-0.1925966046647,0.159962783089407,0.213056647748722,0.227066277415387,0.268000000000001,0.336000000000002
"11429-30","light",100,20,0.14,1.13928547029135,0.250096361821778,0.465370135236632,1.11544465643329,0.352166505064003,0.441056063161809,0.133762499483373,0.229385082137845,0.21036325834055,1.11227559902151,0.357296328135495,0.442579387708656,0.134077952707542,0.228218686134006,0.209676220046522,0.25,0.258000000000003
"11429-31","light",100,20,0.14,1.00424232805748,0.654596234292667,0.225010844943404,1.00984664928337,0.58282160677081,0.241508676351381,0.165484175737579,0.263216068732179,0.211992451527713,1.01158853311613,0.572071455553351,0.245993141600652,0.166007941261449,0.263042396240806,0.211962844774867,0.248999999999999,0.259
"11429-32","light",100,20,0.13,1.01144785320492,0.102341065178364,0.585086442517522,0.996524007896524,0.160614527641223,0.583296887170231,0.159311109429734,0.323424331993255,0.215277534011126,0.997642366650512,0.155581914786843,0.584250471746173,0.159255220224958,0.322563221726823,0.215396188856632,0.248000000000001,0.254000000000001
"11429-33","light",100,20,0.19,0.766564323663477,0.724044879306706,0.0336916145774969,0.805283740835006,0.640550461719989,0.0303988408085824,0.148553774088922,0.274432023743177,0.217750772929463,0.807699379009473,0.623574244930348,0.0386148731313421,0.148663703509249,0.271263894614729,0.216972601872082,0.267999999999997,0.280999999999999
"11429-34","light",100,20,0.22,1.17427708341327,0.475767994203621,0.110862432962702,1.1181687868074,0.795070704419656,0.0038797365315743,0.172109553308364,0.342008490385772,0.257250527035282,1.11511009369899,0.794181329941248,0.00343962297374271,0.171532355010392,0.332450092979264,0.255259082942133,0.268999999999998,0.286999999999999
"11429-35","light",100,20,0.13,0.857688178143252,0.592122225637514,0.44727401532003,0.825756052759008,0.722765753012809,0.422514729651241,0.167927986161617,0.243818428550134,0.226822836107925,0.825073644859923,0.725679044709404,0.41896791794098,0.168354436650836,0.247758931106988,0.227658863208813,0.259,0.256999999999998
"11429-36","light",100,20,0.1,1.07435983837794,0.436436092325669,0.124712834975628,0.997169396896604,0.746502821789972,0.139347715776471,0.143117123023486,0.217106359633822,0.185530697600853,0.997943582192302,0.746464489209918,0.128924873610878,0.141073840971156,0.204988572994214,0.184422648719077,0.253999999999998,0.248999999999995
"11429-37","light",100,20,0.15,0.994760323732878,0.252869731798221,0.523456730942168,0.947865379764679,0.401006562960667,0.458037188454785,0.173133625183383,0.191118782648836,0.243486671998065,0.946048792809393,0.401388708861738,0.457779329731057,0.172979625225769,0.188434971875237,0.242925601498305,0.250999999999998,0.265999999999998
"11429-38","light",100,20,0.17,0.993930010989224,0.519205234851074,0.101791424837203,0.99431775171234,0.518024049569543,0.0357819315718805,0.1250352025087,0.10195807640467,0.182069432749998,1.0145047679672,0.449593859396597,0.0257176814530206,0.124839782145084,0.0909495958448194,0.183948515329038,0.262,0.271000000000001
"11429-39","light",100,20,0.17,0.925913831623783,0.172485949391143,0.540439949244883,0.946974908577502,0.0792258321516954,0.591669048036058,0.160749033735291,0.291577843440166,0.235158302555885,0.946592826865276,0.0811263678437118,0.591170737107154,0.160735851105555,0.29179659334645,0.235163133369837,0.259999999999998,0.269999999999996
