"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11424-14","light",500,0.18,1.01607554059107,0.51908987249074,0.269100065207761,1.01742675306538,0.494564085003886,0.261735636941356,0.0668008627442418,0.0774475266947052,0.097038553216955,1.0099927820529,0.526481376689232,0.266769123285994,0.0672787869387196,0.0833007014235881,0.0969512487510444
"11424-15","light",500,0.176,1.03067194011342,0.539558508171426,0.167463882063438,1.03806204489513,0.51667353122721,0.169515535613303,0.0636491362736123,0.0716055760318183,0.088687656996884,1.02848753892159,0.552214818508753,0.17500378086329,0.0641537907507666,0.0767240756420844,0.088518863614143
"11424-16","light",500,0.156,1.06091235013552,0.38417830382149,0.325468881381073,1.04694965738864,0.42555777066808,0.330932585933353,0.0665411829368372,0.0836429621756309,0.0875014609895477,1.042615546835,0.443838971018204,0.332077085659738,0.0668470084805668,0.0870426564928951,0.0874419448342262
"11424-17","light",500,0.148,0.941330943771064,0.63238383870788,0.30952098504557,0.940383934401014,0.620112147199031,0.332324261992808,0.0680414120465284,0.0913609366419352,0.0988600508732652,0.936952239803981,0.634850465775357,0.335529567206147,0.0683545153642864,0.0944200705745571,0.0988730932843768
"11424-18","light",500,0.184,1.00952328336557,0.46104628463901,0.275551892643203,1.01005090114936,0.436355600978385,0.284710355411914,0.070805790183985,0.0897475759036068,0.0977260470282201,1.00252829476384,0.4639430915161,0.285262663790735,0.0713412318647065,0.0949472362090979,0.0976290895840505
"11424-19","light",500,0.182,0.981513684549356,0.471402682230119,0.247871658207649,0.992128437845816,0.46622519711086,0.249219620524838,0.0651797231762071,0.0735645093428887,0.0864456010304866,0.986835220778793,0.486047232081494,0.249681455232866,0.0654182766192185,0.0763299876706601,0.0863685292375534
"11424-20","light",500,0.176,1.0452829145731,0.536750882495134,0.115486796425449,1.06837195333288,0.470322248025492,0.155134966629158,0.0676577313789452,0.0811295601344824,0.0926309304742716,1.06467059759851,0.483643765473371,0.157278752192101,0.0678896297297206,0.0833591013757123,0.0925160712571575
"11424-21","light",500,0.152,1.06088351196762,0.445394099389252,0.189778618538933,1.0711540730943,0.411511965494677,0.203827298433347,0.0711643195801956,0.0909918132953393,0.0958448921896636,1.05655725163161,0.465163336596058,0.19881014456102,0.071812773720096,0.0985695227276473,0.095700905396505
"11424-22","light",500,0.156,1.05183203121292,0.521791970767917,0.0952697041783372,1.08033419090602,0.44644722202107,0.0695730751072368,0.0655529561827561,0.0632139611136787,0.0938025890651518,1.06107277174172,0.517095298589806,0.066984106467187,0.0661692150160681,0.0717832776833109,0.0936119833611986
"11424-23","light",500,0.154,1.03693445057627,0.385392585790433,0.213355301146698,1.06340548036181,0.307239826726944,0.197208067682992,0.0667551059679576,0.0637250598675452,0.0916735448506903,1.04624849875607,0.370940620604785,0.199022861164513,0.0680714057845621,0.0785990617861536,0.0917737252902015
"11424-24","light",500,0.184,0.975380282887852,0.519694423078606,0.292683373363782,0.976892616206831,0.47670906584886,0.291766767551594,0.0659880830890265,0.0680174700433961,0.0917365163571719,0.956935690067058,0.546884233102228,0.295595169718603,0.0671586412864483,0.0791182920392393,0.0917853032271183
"11424-25","light",500,0.164,1.0286924802713,0.525416851709566,0.118078876964178,1.02961474798647,0.51753231677517,0.124242287743548,0.0680481844982931,0.0920764549871076,0.0932892203731538,1.02467899297616,0.538528648480163,0.126160525616785,0.0683932385292651,0.0960557479722327,0.0932270274419838
"11424-26","light",500,0.16,0.939792838144978,0.503207697816407,0.388407062823872,0.937387682880523,0.490995000614994,0.385876527755865,0.0705652644793625,0.0807296153351392,0.0930461706839107,0.929989820833278,0.515740702681602,0.388245083892543,0.0710392731999745,0.0845957763560755,0.0929486154392083
"11424-27","light",500,0.168,1.14656306227129,0.567827775950158,0.13297991013071,1.13659287421854,0.596156548638401,0.160020982885472,0.0699956714202225,0.0868907025652077,0.0950734356316021,1.12581099463539,0.638248427982891,0.164700511464693,0.0707875280475879,0.0942036731194515,0.095070270057184
"11424-28","light",500,0.182,1.00479784790321,0.46841709938678,0.228084729427029,0.988307747357009,0.493336869821793,0.245695656058524,0.0688303867915295,0.0771100720441222,0.0948291842103866,0.979928024971273,0.522367889927326,0.25002617990065,0.0695595068371688,0.0829748985758887,0.094861562558125
"11424-29","light",500,0.174,0.929287984597529,0.381627921751214,0.371049554616388,0.922393885512246,0.395093059487049,0.362125526787256,0.0675365431913609,0.0733190984473917,0.0923704205456327,0.912547780516201,0.427198006886022,0.362782547403833,0.0689341861031226,0.0837568865245307,0.0928032136910538
"11424-30","light",500,0.156,1.08360740603199,0.473273326815828,0.189560529533661,1.0822591836518,0.47819047658931,0.202424798038822,0.0691672318103561,0.105830803773254,0.0990340925609398,1.08104630913529,0.48374579085777,0.204682634794127,0.0693021837704136,0.107379615511458,0.0988987072870998
"11424-31","light",500,0.156,0.978329004076308,0.61231328078207,0.249947172855226,0.975469889406581,0.646404221039885,0.259063773880687,0.0707745991455947,0.0985122914235251,0.0932222841738588,0.969576368979725,0.669782784903026,0.262229839780286,0.071309546776105,0.103228354502296,0.0932439237705312
