"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"125-16","light",100,0.2,1.04477056190026,0.692689431767119,0.122209785532907,1.05907808117414,0.66106769359251,0.131197668645668
"125-17","light",100,0.09,0.917704877189754,0.64158202494013,0.496710627250015,0.917972513913923,0.643284326910098,0.496436911045143
"125-18","light",100,0.1,0.831327919915972,0.77638377297569,0.591363546225991,0.831613738172276,0.781038139704551,0.590629598777639
"125-19","light",100,0.13,1.1070008757886,-0.0685681980499813,0.200035442040289,1.10664729833454,-0.0681417126882416,0.199987960670254
"125-20","light",100,0.17,1.14413419190968,0.164325422804043,0.143818249451391,1.14312450753652,0.168557357198719,0.144065367439938
"125-21","light",100,0.12,0.976164164758288,0.506222368420457,0.441637591033238,0.97745699181463,0.505180859914649,0.440982748894981
"125-22","light",100,0.13,NA,NA,NA,NA,NA,NA
"125-23","light",100,0.17,0.746354769116163,0.613811493030967,0.578158605005384,0.745686560262393,0.618180567670076,0.578331803375907
"125-24","light",100,0.1,0.974421852211772,0.617324629470228,0.405816340769358,0.973734899608887,0.624924804502241,0.404612439050719
"125-25","light",100,0.16,1.0651832906481,0.395572471275439,0.20056175511088,1.06401892319615,0.402012206482454,0.201022180163559
"125-26","light",100,0.17,0.967922924774777,0.647959574869136,0.263192337883209,0.969215123165532,0.650561195315307,0.262816678746038
"125-27","light",100,0.11,1.32264959986049,0.578652325338471,-0.132819550301345,1.32371669307115,0.581587680268603,-0.133738024970659
"125-28","light",100,0.12,0.880621246794695,0.705164133216296,0.556491624920892,0.882818704690459,0.701653309869132,0.555706173393066
"125-29","light",100,0.11,1.04597458838654,0.28403747781225,0.147197141775284,1.04700999427502,0.281977231103987,0.147228566334377
"125-30","light",100,0.18,1.09248557676574,0.547140443740185,0.361197650358042,1.08936467586174,0.56566368212069,0.360947353499323
"125-31","light",100,0.11,0.976513925692418,0.837001506287193,0.16093608530583,0.976280886233526,0.838639445812142,0.162271181024331
"125-32","light",100,0.09,1.12553794180445,0.41744602990733,0.103405703594053,1.12650803730803,0.413460411179034,0.103778058256997
"125-33","light",100,0.15,0.836376802595984,0.709112126123755,0.288633197256655,0.834735619449452,0.716074910146867,0.290897734183933
"125-34","light",100,0.15,1.28028654992309,-0.174281011454344,0.0631308447882352,1.2797913082487,-0.174588645629626,0.0630142883841263
"125-35","light",100,0.12,0.689613845188022,0.682417716040111,0.60808939388315,0.692944503959862,0.672681138133626,0.607660066066179
"125-36","light",100,0.07,0.944051651390913,0.44773639481044,0.209716671456791,0.9462169333357,0.437767136077085,0.212352575407869
"125-37","light",100,0.09,1.2268128506653,-0.239738728884249,0.140752772184005,1.2266957471975,-0.240662025122276,0.140820747907827
"125-38","light",100,0.09,0.854782675248835,0.701723981969803,0.432059050549776,0.854087911165941,0.707905752716375,0.431772542355592
"125-39","light",100,0.14,1.07710933621542,0.295145577440171,0.388580659668248,1.07682931447721,0.29788408509344,0.38886241275423
"125-40","light",100,0.13,1.04881028265414,0.141486459797166,0.530871420450166,1.04819787956168,0.144290711825204,0.530850580097355
"125-41","light",100,0.15,1.23408030146273,0.230588091986176,0.0641742490416926,1.2333043975491,0.236781519504247,0.0632132883231102
"125-42","light",100,0.11,1.0405470946606,0.866455646236644,0.171111361426323,1.04198008568061,0.86682540465337,0.170326323257889
"125-43","light",100,0.14,0.914097126177185,0.599741776317515,0.311007828118124,0.916213789774652,0.599989432544351,0.310379628376355
"125-44","light",100,0.13,1.04444168880784,0.430394088690378,0.40019238047102,1.05811886269337,0.402188806522578,0.400233437150919
"125-45","light",100,0.16,1.0294566970802,0.0858576576963226,0.302118945902182,1.02712296882401,0.0943540172522829,0.301810931409716
"125-46","light",100,0.16,0.966653259832537,0.894486869225907,0.225541729243508,0.964970796733844,0.912521362901106,0.224732181217907
"125-47","light",100,0.13,1.01271442811887,0.575468235163734,0.41042950565108,1.01533336617304,0.576052637296568,0.408798330098248
"125-48","light",100,0.08,1.07113573873778,0.435563553769166,0.267520989469526,1.0765683218314,0.416254909143805,0.271334897681647
"125-49","light",100,0.08,0.987662321734194,0.29283087974588,0.35809340570757,0.986919158516083,0.297422425529495,0.35796311276172
"125-50","light",100,0.1,0.709070567356054,1.11928323599261,0.336134917033904,0.709895863478112,1.12269735727496,0.33534070790549
