"sim","censoring","n","distX","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11424-11","heavy",500,"normal",50,0.532,1.0478900074913,0.507139154096011,0.200313635820486,1.67967550216249,0.100971028023932,0.457445530934646,0.13598698826782,0.0995273622910259,0.153125218400942,1.68547429929242,0.0956541444890298,0.446021535210937,0.14375734463598,0.094548326042687,0.134368427874907,1.67282674168189,0.11273028595805,0.425514169874637,0.159328183233852,0.110163885020993,0.14017569511328,388.962,386.170999999998,378.994999999999
"11424-12","heavy",500,"normal",50,0.482,0.966891396436203,0.526794609502814,0.325995963799675,1.55420415360903,0.163259265501838,0.584273196148586,0.151011404436602,0.101129155066344,0.128977329885958,1.55943278096785,0.177808537186736,0.554745129787161,0.154682533555877,0.100665304319902,0.128094097433802,1.55767603876637,0.174592968867864,0.548601769351187,0.154181055715786,0.100898939671957,0.145708396765202,353.653000000002,353.353999999999,355.136999999999
"11424-13","heavy",500,"normal",50,0.536,0.972185192423387,0.520917699548834,0.248040210232044,1.47667337221173,0.259299450837959,0.395604519847574,0.149392357301122,0.0987165270892216,0.145469567241787,1.45410566186591,0.268296478700823,0.41844132932501,0.143757672942073,0.0941394896759968,0.133545343245533,1.45636979509491,0.275000819659982,0.412583276704128,0.136077899815757,0.0978702214771746,0.130953101903936,388.391,383.576000000001,382.582000000002
"11424-14","heavy",500,"normal",50,0.496,1.32305129222253,0.275805060557916,0.318477291969935,1.63510956919075,0.0659597886409031,0.442406484249604,0.160349089612487,0.110578051723067,0.135216121149938,1.62947885501143,0.0815450754284934,0.445538624132406,0.158673401391416,0.108105433612935,0.13309482889849,1.6055820522721,0.103320208029566,0.44247597067536,0.171656735230679,0.111916645887877,0.138451259875049,361.173999999999,362.502,360.652000000002
"11424-15","heavy",500,"normal",50,0.49,1.0756792185531,0.412117075549329,0.319867967170983,1.55562724412461,0.118186161099653,0.482991205143511,0.144859749331965,0.101190608412837,0.137774472872037,1.5589158697785,0.110182463070897,0.489841530896914,0.155794488251356,0.102628839056453,0.155875788470588,1.57071913261882,0.114788633962536,0.458939289967938,0.158354729796206,0.111846340953691,0.138026684023865,357.269,360.232,353.843000000001
"11424-16","heavy",500,"normal",50,0.486,0.878954940019747,0.545165172692337,0.248033669831952,1.61714524408524,0.0646770197389115,0.50459757765409,0.148200996167489,0.10922258130837,0.128812355221582,1.59737742392953,0.0875091036627267,0.48350438517694,0.128791847476195,0.0891998803035886,0.140382960206824,1.61440939665465,0.057314347774132,0.518644973440711,0.141092771508162,0.101723432675334,0.146332131183512,355.208999999999,359.142,358.601000000002
"11424-17","heavy",500,"normal",50,0.484,0.839255244496607,0.574356051898938,0.287221837470047,1.64503174012762,0.0576362388463317,0.544377009036541,0.146335541698329,0.0971457676143794,0.134215855657247,1.64142742173739,0.0738624817307715,0.511695654187968,0.146371249410655,0.0913709261312198,0.129381170104288,1.61527279570358,0.0860398091678605,0.53611743961053,0.141862830492302,0.0973921561038337,0.141113470006458,355.685000000001,360.02,353.054
"11424-18","heavy",500,"normal",50,0.504,0.934168211852479,0.559393475838287,0.232359600054723,1.57829503575789,0.153525818834279,0.50891721558287,0.150624039474764,0.0979843042262325,0.13470555567994,1.58438013276196,0.142068336911677,0.511512122976785,0.150930867295365,0.0982234817080175,0.143917178275625,1.59373019257645,0.143775623153212,0.509018862599407,0.147076950828898,0.095046900171116,0.123289160136365,368.599999999999,364.315999999999,368.194
"11424-19","heavy",500,"normal",50,0.464,0.796477815360237,0.558741432821044,0.278864166764868,1.43343309080837,0.168687904669909,0.500740708194179,0.143489359075095,0.108781848136008,0.127435440861217,1.43552098803099,0.172226586442694,0.48747578330978,0.147257910981718,0.100821039769508,0.134669743371023,1.45351193152521,0.15952571628383,0.524558485562242,0.134906913783064,0.0944545626904559,0.128677761022174,340.687000000002,336.170000000002,342.745999999999
"11424-20","heavy",500,"normal",50,0.482,0.950513637351847,0.565570821441193,0.177254880701196,1.61984372499166,0.139149902522444,0.428710922639326,0.141106154327105,0.0990674084163636,0.135635095174543,1.65809442222956,0.124647703359964,0.427427884204565,0.137605622213642,0.0927591059137339,0.139656738661767,1.63970694181932,0.142212579464216,0.434430508112559,0.146566489312606,0.0949081869683175,0.13558379561531,356.510999999999,356.619999999999,353.539000000001
"11424-21","heavy",500,"normal",50,0.492,1.11380271572662,0.411817680061888,0.320418449343833,1.52816496083871,0.172481481584499,0.473872393826774,0.137666164031652,0.0999439610331476,0.117206657617057,1.54448505314289,0.168123098689036,0.460979660744507,0.135348750099749,0.0977386984500139,0.136183902725311,1.52557597364805,0.190156813715502,0.463259635688573,0.128743517652344,0.091899588058381,0.115949407009413,358.085999999999,353.510000000002,361.995999999999
"11424-22","heavy",500,"normal",50,0.496,1.05519040679861,0.473978293034547,0.320569612074218,1.57498171802914,0.113834579778272,0.586735226610088,0.133245874674159,0.0952645124498177,0.128998092519226,1.59260125320914,0.111536280049028,0.573435074609621,0.140732824823483,0.0934444567093689,0.117152888299136,1.56730558304809,0.125882259262839,0.590097974921637,0.129241052806693,0.0882250652598573,0.12866186906371,353.093999999997,353.256000000001,355.430000000004
"11424-23","heavy",500,"normal",50,0.478,0.995894351627314,0.478768320865786,0.282015927294568,1.57155218165922,0.105992110336539,0.521831655696996,0.13106886480403,0.0867469822805685,0.126398826709055,1.58112846005287,0.109128324698808,0.503045961816396,0.129405930533994,0.093250899416715,0.136455213026472,1.5829762551768,0.108381364181115,0.520904219695265,0.135267634883729,0.0927683449878481,0.13341976368829,347.063000000002,349.883999999998,345.097999999998
"11424-24","heavy",500,"normal",50,0.478,1.11849542497905,0.451693880845602,0.181503953575872,1.62542258343039,0.145000337877445,0.370770168591513,0.157062382778352,0.111286409905356,0.134398911623846,1.63912101847885,0.145687064820052,0.364218672666098,0.145105300655003,0.0986620049843754,0.139244578242462,1.63278956328886,0.146050456301894,0.350913645593053,0.143778028726169,0.100370097944702,0.137141298286809,343.889000000003,344.321000000004,341.366999999998
"11424-25","heavy",500,"normal",50,0.496,1.03697676741745,0.509636735514399,0.1589221563952,1.55183976866671,0.207058767421528,0.346319326716494,0.164418178075704,0.107375008351093,0.130732805864882,1.53846676857644,0.246466887877961,0.302067189063508,0.141615363418626,0.0926696695339079,0.141781425758194,1.52648301707802,0.239227962772326,0.323783346594706,0.144928548293834,0.0972468560263023,0.142364264119745,366.477999999996,365.489999999998,356.239000000001
"11424-26","heavy",500,"normal",50,0.52,0.818064413663382,0.542195067950332,0.316571062893247,1.43550641320934,0.161514898023869,0.58918386643327,0.126705277598105,0.0805806231458557,0.125009937503207,1.42000720424607,0.186439397376584,0.535794409161494,0.133797087018317,0.0907948577407149,0.131503068262984,1.42141672775028,0.1808606986123,0.539758817344147,0.142153378622882,0.0932310599954764,0.122128847001687,384.186000000002,383.646000000001,379.089999999997
"11424-27","heavy",500,"normal",50,0.504,0.927315416074135,0.522084905355499,0.292738137309945,1.518282872135,0.156709197806349,0.531511066776767,0.146585265912094,0.0995791974848139,0.133503027235643,1.51792953975472,0.151671232657288,0.56410592130833,0.140547136586156,0.0959179518573054,0.134930770583391,1.55170141369252,0.142327182461487,0.53416895067033,0.122635296815615,0.0851165105198779,0.133682652072326,368.220000000001,367.848000000005,369.293000000005
"11424-28","heavy",500,"normal",50,0.5,0.854310309274156,0.488303585794819,0.406918786191055,1.4916043476933,0.0695319089667024,0.607213601657272,0.148209182821404,0.11015784384546,0.120635215810077,1.48933072608896,0.0719554290636333,0.628353119437316,0.137324896592472,0.0957070724425402,0.134263918179378,1.49034033047373,0.0708617140918304,0.612198014559035,0.141468455030335,0.104319905297596,0.137658208601383,366.445,360.904999999999,367.001000000004
"11424-29","heavy",500,"normal",50,0.512,1.08598328563597,0.47141108273151,0.252919206365505,1.51456626149633,0.244660300533721,0.431354993462625,0.141360394087994,0.0945747199101351,0.137544870801666,1.50438515519085,0.265080186288739,0.403898354846154,0.146326452561721,0.0977617752915189,0.134806852451179,1.51992312100596,0.254394767159947,0.398574325283419,0.147614794106222,0.0896325996676925,0.145574471158854,367.743999999999,373.648000000001,369.607000000004
"11424-30","heavy",500,"normal",50,0.502,1.04319877802438,0.457869664334304,0.261899052249747,1.63168498534544,0.089111896151589,0.44104238015309,0.137110580225648,0.0988454510526016,0.124393151408178,1.62165820510493,0.0957001549915282,0.440435721737964,0.14084581429636,0.094565118158373,0.138409193362877,1.61850677089594,0.0827857173974231,0.45641055129717,0.124854259060893,0.0889840944902482,0.142838758566951,362.106999999996,360.233,360.013999999996
"11424-31","heavy",500,"normal",50,0.51,0.983187466149501,0.539996901209674,0.172424208126029,1.47371513532412,0.2484082594823,0.415014177761106,0.137078091405273,0.0962599342878796,0.146854444499695,1.50316553697934,0.227361655039508,0.417106747516585,0.132587356018686,0.0933752889570829,0.137470796024408,1.52134493810122,0.240001966027313,0.377048064077308,0.134682945923243,0.0899573932734339,0.123530445699154,368.919999999998,366.583999999995,369.720000000001
"11424-32","heavy",500,"normal",50,0.508,0.904972940771499,0.569578840253826,0.137486320803442,1.53878813030459,0.204649397872628,0.358161209344327,0.130320816983594,0.0808579564978316,0.136683124508809,1.53207694455637,0.194599896988924,0.368748487670759,0.147326152027101,0.0915924797736986,0.121210333271358,1.55462500040228,0.185575999690871,0.361765842846917,0.136116112494605,0.0869132000698933,0.128607795946964,367.674999999996,370.136999999995,366.527000000002
"11424-33","heavy",500,"normal",50,0.466,1.18128568719318,0.351633724622165,0.256997394328752,1.50985770001796,0.148222243986353,0.427969532332257,0.127597185202759,0.0857855092696003,0.127364800126566,1.52086400397475,0.149590640199634,0.416046203379856,0.1261015104752,0.0866768110317824,0.122892905448694,1.50861914532813,0.155457604100179,0.404997047867948,0.139969799482564,0.0973716527979844,0.140351161491757,345.073000000004,340.052000000003,343.136000000006
"11424-34","heavy",500,"normal",50,0.512,0.967353425936421,0.524672082785227,0.220110972864614,1.55439990026437,0.188772715555469,0.402787642893746,0.152037147166809,0.0933019382287251,0.117274921541931,1.55003327225768,0.178457886766973,0.431796323039137,0.132032755847484,0.0896127038646412,0.127591095475278,1.55636765425777,0.175136957351411,0.446446065315387,0.153077945128386,0.0914146292890826,0.11949441755633,376.015999999996,372.271999999997,368.692999999999
"11424-35","heavy",500,"normal",50,0.51,0.654003499164759,0.612267443259465,0.361513583683046,1.41943606550715,0.152371231659201,0.60191262801316,0.14845685549032,0.0991586705446935,0.120991566295036,1.38104297709764,0.165935213153909,0.606100711674026,0.141258718108007,0.0936394953469228,0.133029717691358,1.39926159694243,0.165937808719044,0.613414427038211,0.147666381006461,0.0898117060327633,0.122267033558974,364.487999999998,365.718000000001,364.027000000002
"11424-36","heavy",500,"normal",50,0.476,1.06748566906847,0.434446674651547,0.354383789699664,1.60463582203767,0.0939185471971727,0.559790192333077,0.134720105946144,0.0932831934529232,0.136354277834075,1.63347828004675,0.0730065321586016,0.563298528394651,0.132799208923595,0.0970059804862763,0.142654495737944,1.618261311463,0.0847594289548787,0.549635573514271,0.141966704728032,0.0907089694120495,0.131038526667054,351.843000000001,350.256000000001,348.669999999998
"11424-37","heavy",500,"normal",50,0.514,1.13170999469504,0.443421189500154,0.124253239128423,1.68621996455474,0.0876078390499849,0.351947747826276,0.135694303218298,0.0943312193139062,0.125782388547264,1.70402026981912,0.0886340509818522,0.327376100101239,0.142613049708922,0.0939645017115738,0.120596136885506,1.6729103690799,0.0988212484280115,0.358848154841406,0.131795089685916,0.090256463450268,0.121601445793681,381.788999999997,378.406999999999,379.284999999996
"11424-38","heavy",500,"normal",50,0.464,1.23346750806849,0.381650770111465,0.147023182845486,1.69805478556211,0.101381147347305,0.307473375506902,0.142986336186859,0.100739841387778,0.12570916696881,1.72482751635028,0.0831693168977743,0.321420727521032,0.144298093461624,0.0922662721247601,0.126621990971622,1.68397341760654,0.101355465828134,0.317392866180483,0.14399719164944,0.0998642065672193,0.132644722794223,345.251000000004,336.805,338.778000000006
"11424-39","heavy",500,"normal",50,0.526,0.956029883417034,0.552681388910054,-0.00341362971365107,1.6650107621477,0.113618763315058,0.271658188234616,0.143537018740508,0.0963667823543706,0.132649169283658,1.67377173050281,0.104214480696431,0.263508284098314,0.143643446631892,0.0952269821944079,0.121671127155497,1.64964755471365,0.125179997569986,0.269420510883222,0.125951000976647,0.0845138098487826,0.124627675239555,385.400999999998,384.281999999999,378.263999999996
