"sim","censoring","n","distX","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11429-31","heavy",500,"lognormal",50,0.478,1.20577284316093,0.388775909829436,0.0598063448695128,1.50340341461879,0.18932896471417,0.0490047889260198,0.135797898002482,0.119580131537162,0.129331921968594,1.51502496705246,0.164797165372994,0.0525775367936629,0.136747959087953,0.125171235413434,0.145344452528328,1.51778419649001,0.172701484272403,0.0377074699123526,0.130958639211778,0.129486385842303,0.138425292371372,406.601999999999,410.439000000006,399.454999999994
"11429-32","heavy",500,"lognormal",50,0.468,0.796414141123144,0.579047357464521,0.326426889644779,1.12802809651339,0.366190047498235,0.38279736942794,0.135670317523806,0.108546463104459,0.135084287690771,1.14083497212526,0.353614896601521,0.376187253239709,0.131267679276032,0.124868123295263,0.124197566979842,1.12550282634416,0.376563313635859,0.357046152811948,0.140161458135205,0.124411559357571,0.121256672992874,413.274000000005,406.190999999999,404.296999999999
"11429-33","heavy",500,"lognormal",50,0.528,1.14750464074532,0.369511189845233,0.327050049921806,1.46410008770243,0.13716505626753,0.340265082670892,0.114829009410411,0.100067105250556,0.1191468909771,1.46622190015098,0.139571530508594,0.338230868734476,0.135470588534973,0.108021250489199,0.135482932237621,1.48360647957561,0.103322280997314,0.352678127096289,0.14118450373111,0.11967822858996,0.134394899436305,438.761000000006,439.167000000001,435.464999999997
"11429-34","heavy",500,"lognormal",50,0.456,0.920867661657732,0.497005400723404,0.33073941785049,1.25461626243936,0.257644009863395,0.371073662083413,0.149090553903555,0.148805037259294,0.133850770193973,1.27383092424667,0.24543466992465,0.328273246241872,0.133210581000907,0.133259292564209,0.127782228810077,1.29307387707284,0.204639801191813,0.351892247519489,0.133019934450164,0.136970937563904,0.13575081718866,371.868000000002,382.380999999994,381.012000000002
"11429-35","heavy",500,"lognormal",50,0.506,0.967944605963423,0.52520245412166,0.190841360871907,1.3226777112879,0.289106818193049,0.233577806525652,0.126679336703678,0.104763769168002,0.136904962099304,1.32198429577816,0.281767258733233,0.233525164784896,0.125473114837518,0.104817168095362,0.136984600182974,1.34347250631842,0.269784146840614,0.239602529372435,0.124157787056008,0.114730839674591,0.134390817404105,405.418999999994,427.021999999997,427.152000000002
"11429-36","heavy",500,"lognormal",50,0.516,0.91960322611867,0.605786631656441,0.172231264094467,1.39911242937004,0.235180381366257,0.21534956277895,0.145510123544824,0.12637751491674,0.136635019334483,1.39827474381981,0.227229864119134,0.224695214398822,0.135572618022815,0.112123663815998,0.13329828063307,1.38995106808589,0.236875702492447,0.240333556739286,0.125712364359749,0.1157797831013,0.137044848040583,425.599000000002,433.877,431.987999999998
"11429-37","heavy",500,"lognormal",50,0.514,0.950286919477401,0.48200607491922,0.216501097112397,1.37695053427754,0.172065649528349,0.256617209117527,0.127327963001721,0.128420264272173,0.140203094107059,1.33929166820273,0.187181745441981,0.261282401522337,0.112293092494252,0.107580780984411,0.128496092304479,1.32930206339528,0.210224962670129,0.244855341059392,0.13837912861359,0.120832860525193,0.128182077025271,426.356999999996,428.964,426.777999999998
"11429-38","heavy",500,"lognormal",50,0.51,0.851301770438872,0.604425452206784,0.314116948819634,1.24360539742003,0.361559816842479,0.316615890581513,0.148358719733395,0.126561415099739,0.132847478311622,1.26379121650811,0.351884711672384,0.290855492691218,0.146747226804813,0.127064525579155,0.14086925835017,1.27056489263972,0.344470975278284,0.307446041272321,0.158105397965263,0.133113261994915,0.141775500768638,434.345999999998,435.610000000001,429.436000000002
"11429-39","heavy",500,"lognormal",50,0.486,1.05415453835472,0.506082068708128,0.127017414746731,1.55112695143794,0.110657353625796,0.143293686550731,0.129246889418062,0.113182636929129,0.143270689390787,1.56332294212899,0.115598645130289,0.111077420727634,0.13314102079215,0.108868351190106,0.138547210903037,1.57608777829669,0.102943658202964,0.12126983010708,0.138083669716171,0.103752584541183,0.145827410594466,410.907999999996,414.907999999996,409.192000000003
"11429-40","heavy",500,"lognormal",50,0.534,0.983162800876804,0.492598469371878,0.339339679352512,1.31346184787323,0.27346886707089,0.385908915763785,0.127330551324632,0.116424266493806,0.12541829351966,1.30049042961067,0.274158434514756,0.412970537191165,0.127357651250185,0.109425240258888,0.118956391326124,1.29840444371589,0.277545774102516,0.401993341931037,0.123440147755295,0.113939179813367,0.122836083515766,457.546999999999,453.446000000004,448.157999999996
