"sim","censoring","n","distX","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11430-11","heavy",2000,"gamma",50,0.5,1.05135015320525,0.482150774760995,0.30736226652744,1.81884240660897,0.371923619201049,0.553555844833389,0.0697304846078165,0.0242179539062198,0.0905933459960351,1.81578155463246,0.371832732149976,0.572237788833287,0.0769137188558404,0.0246925067834767,0.0920581785239684,1.80558741997511,0.380686550593349,0.549769357301828,0.087821542743518,0.0271146096941392,0.0971377917114622,2247.79300000001,2256.16099999999,2244.402
"11430-12","heavy",2000,"gamma",50,0.5135,0.968971982383737,0.499967930927888,0.292526968752448,1.79392947585131,0.371082838271391,0.575869761228482,0.0823700345348792,0.0287019482727938,0.0901365825558229,1.76939124941522,0.384954665222377,0.571882679335523,0.0779757202703818,0.0252053451590227,0.107027002201402,1.7647343724337,0.386443784144718,0.584121202553532,0.0835032201824283,0.0249482869534009,0.0976470964037889,2280.29000000001,2286.80799999999,2286.484
"11430-13","heavy",2000,"gamma",50,0.522,0.939166151320285,0.517044417948775,0.278373534689043,1.88062299462104,0.3423394730974,0.582564657395272,0.133169493500633,0.0592961380624898,0.101681799021845,1.77986411791887,0.398131279287339,0.591382760087092,0.0869867758828516,0.0327659600139319,0.102704075356876,1.77729164290911,0.408264440507864,0.595065971766402,0.0825107346571096,0.0267036988002257,0.108066362035726,2287.89599999999,2299.325,2299.372
"11430-14","heavy",2000,"gamma",50,0.518,0.927419041817624,0.532885596625347,0.214310239710253,1.81064448962958,0.376541096216648,0.548026052515974,0.096112914692726,0.0423355564337928,0.0989670924011,1.74608784649631,0.413982669414492,0.545562785637669,0.0935169467676513,0.029303554303186,0.0963799171019453,1.72337480568681,0.433050677942109,0.541402304787824,0.0810811772098804,0.0253968500422204,0.0943495933198484,2514.11900000001,2452.561,2456.355
"11430-15","heavy",2000,"gamma",50,0.515,1.04643658923353,0.494083804696885,0.248289281712096,1.92932481669403,0.295476893760623,0.538839574922662,0.0922836935583248,0.0388294234530354,0.0946493938099917,1.81288676797897,0.36753740123279,0.543066037437153,0.0766239160940719,0.0250239299877914,0.101965834028942,1.7826846969045,0.391750263483258,0.552325842509927,0.0757896838546036,0.0246123375732621,0.0961960148534739,2416.671,2427.649,2440.09300000001
"11430-16","heavy",2000,"gamma",50,0.5075,1.00243007233827,0.498797422770853,0.245501809948672,1.85141615934081,0.392678734352143,0.446111204199414,0.0924890607432697,0.0374126729572353,0.106718809241486,1.79260617800625,0.416964261650849,0.47454023903106,0.09555256129551,0.0301822860018285,0.103187945262129,1.80252408612747,0.417705839642392,0.485621952775734,0.0888278967392955,0.0302327470627255,0.0934187744400886,2426.37699999999,2437.042,2423.003
"11430-17","heavy",2000,"gamma",50,0.496,0.962202290106171,0.499556794582189,0.290422107611072,1.80392810167353,0.357752649278633,0.524470275311048,0.0981547170485329,0.0342513695724028,0.106437417685881,1.76363737628584,0.381868389484967,0.526213741488121,0.079859798657775,0.0255891695909007,0.0984544030244963,1.75636576641938,0.390173026592762,0.513583241444942,0.0783833662635945,0.0244762537156785,0.0984926455820929,2397.853,2415.875,2387.60100000001
"11430-18","heavy",2000,"gamma",50,0.508,1.02935201732847,0.496860631375983,0.175562323763014,1.82183142588033,0.376436753544772,0.490546100083605,0.0950080766401864,0.0316317606791667,0.108100400747795,1.78140901774995,0.400334341449609,0.496884601829558,0.0875794358375736,0.0283844370572623,0.104636783581086,1.78379539538289,0.404194025035143,0.511781471319322,0.0801645499486042,0.0250135837258781,0.0958986849910354,2424.607,2387.145,2255.546
"11430-19","heavy",2000,"gamma",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11430-20","heavy",2000,"gamma",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11430-21","heavy",2000,"gamma",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11430-22","heavy",2000,"gamma",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11430-23","heavy",2000,"gamma",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11430-24","heavy",2000,"gamma",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11430-25","heavy",2000,"gamma",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11430-26","heavy",2000,"gamma",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
