"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","alpha_extrap_pooled","beta_extrap_pooled","gamma_extrap_pooled","nse_alpha_extrap","nse_beta_extrap","nse_gamma_extrap","bse_alpha_extrap","bse_beta_extrap","bse_gamma_extrap","ese_alpha_extrap","ese_beta_extrap","ese_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","alpha_extrap_no_pooled","beta_extrap_no_pooled","gamma_extrap_no_pooled","nse_alpha_extrap_no","nse_beta_extrap_no","nse_gamma_extrap_no","bse_alpha_extrap_no","bse_beta_extrap_no","bse_gamma_extrap_no","ese_alpha_extrap_no","ese_beta_extrap_no","ese_gamma_extrap_no","time_extrap","time_extrap_no"
"11423-11","heavy",2000,0.483,0.993592539268125,0.48063817164926,0.277194840274805,1.0399304111612,0.440328208631655,0.380489675371394,1.04323786333838,0.435342142557776,0.376983575157105,0.0352424557657115,0.0695613163930477,0.0459167746375961,0.0506219706208343,0.0956654113987468,0.0657868015948054,0.0363347926723439,0.0655237765562334,0.0471464435588046,0.974005986819583,0.576639303238545,0.268734498503836,0.970985948130097,0.583648292364701,0.267260107783269,0.0371985069294262,0.0699154973203052,0.0484940281035327,0.0533389415894553,0.0978088527014877,0.0659623482946803,0.0382618070727367,0.0684760740361158,0.0447747640124999,49.345,1.65100000000007
"11423-12","heavy",2000,0.49,0.970332242778727,0.457071858672857,0.271234446414529,1.01143675503476,0.376759086798118,0.380542280884701,1.01319544429746,0.375136439910484,0.379709357672489,0.0360696127929426,0.0601501969938684,0.0468829071507062,0.0508256455734732,0.0825375463082423,0.0656442096015091,0.0358499092530219,0.0565332282391927,0.046002179339712,0.93555789739851,0.55914298495004,0.288955922498419,0.939215590117321,0.557482618675857,0.285520648531398,0.0384800791243608,0.0675737110998893,0.0487870745740014,0.053534175390097,0.0935015112184828,0.0680340507348705,0.0371824438447539,0.0646121102451009,0.0474126368204611,48.6190000000001,1.64699999999993
"11423-13","heavy",2000,0.4825,0.993959379519749,0.530798166793373,0.271917303018015,1.05517014081597,0.372925696676197,0.358646021522788,1.05284709569262,0.374343425513904,0.360289561454104,0.0352348360917461,0.0536386392263704,0.0475187721417638,0.0502631344632669,0.0790425611347187,0.0673641122972862,0.0358642746215543,0.05797394351534,0.047791523466319,0.976137455915999,0.588235894410421,0.28772336601813,0.977512138277839,0.585224978224888,0.287148890391403,0.0379170138381974,0.0675242149100808,0.0489537583284839,0.0555351415238963,0.0992737528576137,0.0703806480769098,0.0406345526577735,0.0728618309756082,0.0506423811672653,44.24,1.61900000000014
"11423-14","heavy",2000,0.4775,1.00339115642892,0.486403229252624,0.268053585992107,1.08224504125055,0.294720381705456,0.393075581537363,1.08148595473731,0.29221201727009,0.395268533962927,0.0355049431787071,0.0599865877044576,0.0470712050699539,0.0492270236562631,0.0880249563544163,0.0644448116163647,0.0341328194110095,0.0643061910775199,0.0440648133416364,1.00577795831993,0.488442198179652,0.29234616806085,1.00317565081161,0.489050453578281,0.295864435526164,0.0376371248262891,0.0644909405066719,0.049383900295641,0.0529239639467106,0.092858175204634,0.0688074524810205,0.0372726185744962,0.0668946260935048,0.0479765997475071,47.1130000000001,1.60599999999999
"11423-15","heavy",2000,0.479,1.01769426430709,0.52082133440253,0.2660580182499,1.07481817122024,0.413912136917389,0.337461485209034,1.07498370925846,0.412092829328666,0.336873202024911,0.0347849014583251,0.0546428415100143,0.047262903914465,0.0478458477359019,0.076949661895195,0.0686639817096769,0.0328524503520159,0.0541796357287876,0.0498085731318226,1.01653871160783,0.563551472381023,0.29105062552512,1.01570139609188,0.562737740621637,0.290868349123207,0.0373920834820126,0.0685477058998667,0.0485961527047546,0.0518804025831909,0.0998377992091067,0.0692684383995831,0.0358953825552813,0.0724819199081763,0.0492951380418033,43.0260000000001,1.62200000000007
"11423-16","heavy",2000,0.487,0.978915880968038,0.484572372714635,0.304819874722169,1.05174060318223,0.351785930323079,0.410761198993221,1.05169810865534,0.354677937724754,0.408837667355298,0.034703142221805,0.0578222935174756,0.0469629073660168,0.0494470779309745,0.0836269242292089,0.0670778155024691,0.0352085428853489,0.0602776772576665,0.0479018336573594,0.979224905414567,0.483159107747956,0.293109114398765,0.981438342598438,0.481511802650214,0.291990748126541,0.0368427456966203,0.0591961882619964,0.0500921592632214,0.051639867959843,0.0851156099114861,0.0690268805633056,0.0361684831488535,0.0612136513045146,0.0475239718802771,47.377,1.61799999999994
"11423-17","heavy",2000,0.4905,1.04381585384443,0.532030346761931,0.20194275458391,1.09455211311439,0.506563727007608,0.314592716187467,1.09349715076221,0.509573918251353,0.313169350412733,0.0372307382731748,0.0732009753895861,0.0472532198624789,0.052085971352038,0.109128534910662,0.0659696781325226,0.0364243315799532,0.0810127955969413,0.0460411147028788,1.0106234373726,0.681242896588003,0.256580166765473,1.01098658558275,0.679033649754865,0.258117396179148,0.0404860102411387,0.0797944705264774,0.0480520648217697,0.0579785943268697,0.114653495153252,0.0674575760098383,0.0415054374157353,0.0822675017611142,0.0472875922532799,46.162,1.65800000000013
"11423-18","heavy",2000,0.457,1.02780946650811,0.452829844439393,0.200626430395764,1.07862407070416,0.355952468623087,0.301611265880638,1.0780488929057,0.3582844895742,0.299766934838227,0.0350945406448112,0.0604013063202603,0.0468770977489642,0.0486299460502631,0.0869625265725131,0.0666062558052837,0.0336470948664819,0.0624600141165728,0.0473134178390205,0.996619274768295,0.560354119558461,0.221074969717052,0.996652415914647,0.559322357690815,0.222642108104206,0.0375342922926087,0.0673338369805994,0.048300892689233,0.0528668554829361,0.0965883417283712,0.0660445770983685,0.0372024994237268,0.0692509443490773,0.0450628733580443,47.3019999999999,1.63200000000006
"11423-19","heavy",2000,0.4725,1.026879171071,0.575111192278474,0.174684407398897,1.08262580636879,0.61451166729401,0.278360992777557,1.08059074434031,0.615084412763942,0.280033684837384,0.0367738589203376,0.0843702541850159,0.0468106403149685,0.0525206710448972,0.120383384193771,0.0653077625139764,0.0374827096477969,0.0855058455152995,0.0455214011574039,1.00618760410955,0.749346948949813,0.193970651159492,1.00734382613929,0.752965108026315,0.191821539679266,0.0390184605652256,0.0815295176071313,0.0482257554023508,0.0566358512146544,0.1156417275647,0.0670902565114559,0.0410889455409377,0.0820588484363116,0.046671287661865,47.6889999999999,1.62999999999988
"11423-20","heavy",2000,0.5045,1.01535264332527,0.518378138926172,0.275733357268708,1.10614475814755,0.281945684710389,0.383165355696375,1.10566117072872,0.278273653047749,0.384224083100434,0.0357337754192343,0.0587526236597562,0.0460745295782764,0.0524186636741108,0.0902381731575695,0.0643022792326488,0.0383757594279397,0.0683337198131928,0.0448581065944359,0.991473857243895,0.541137515468265,0.303506431260251,0.990468245403875,0.544202341433182,0.30439120608077,0.0388130030414698,0.0633382418107311,0.0468454621848056,0.0559563306528142,0.0925965431913865,0.0647746589619399,0.0402914868252892,0.0675040272782966,0.0447029401140612,50.4069999999999,1.68299999999999
