"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","alpha_extrap_pooled","beta_extrap_pooled","gamma_extrap_pooled","nse_alpha_extrap","nse_beta_extrap","nse_gamma_extrap","bse_alpha_extrap","bse_beta_extrap","bse_gamma_extrap","ese_alpha_extrap","ese_beta_extrap","ese_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","alpha_extrap_no_pooled","beta_extrap_no_pooled","gamma_extrap_no_pooled","nse_alpha_extrap_no","nse_beta_extrap_no","nse_gamma_extrap_no","bse_alpha_extrap_no","bse_beta_extrap_no","bse_gamma_extrap_no","ese_alpha_extrap_no","ese_beta_extrap_no","ese_gamma_extrap_no","time_extrap","time_extrap_no"
"11422-31","extra_heavy",500,0.828,0.989888316438046,0.497768190444829,0.272070916887077,0.914943433953252,0.507126967311232,0.271966676337383,0.917376103964485,0.507268265783439,0.27224458050268,0.107903843257064,0.181383097196711,0.102684474559197,0.155509136890338,0.260812489154397,0.148197928910807,0.111977517776418,0.187474996975442,0.107132425394547,0.848416263552245,2.06017547856269,0.355130640738632,0.854146200423359,2.04863548123448,0.350299087378139,0.135397743357223,0.799499816479349,0.095649924067542,0.191290220722223,1.13083470423831,0.131855859109215,0.134641293978233,0.796807596485533,0.0908762398831431,3.45400000000001,0.579000000000008
"11422-32","extra_heavy",500,0.802,0.993137898884689,0.415235057990089,0.232892630393947,0.857151589746118,1.02727080347626,0.245845976707541,0.858492663183478,1.02282752188175,0.24522280418395,0.100075839329593,0.300436650956134,0.0962253218551535,0.138096503897881,0.418980808044609,0.136564147134102,0.0952200871199945,0.292252990680265,0.0971462004204015,0.80674401498743,1.79103382601942,0.309057277028396,0.806688560257673,1.80461646379973,0.297465278085771,0.112414746670194,0.527750428165509,0.0910552386279524,0.151990604687805,0.70549043592791,0.125729980571444,0.102200596742649,0.468028838987771,0.0868673396064066,4.56300000000005,0.575999999999965
"11422-33","extra_heavy",500,0.826,0.959253574807401,0.496851312400432,0.285003041142224,0.925456650319379,0.2719020258801,0.296765494829819,0.929219988284084,0.263941544993039,0.294114896096873,0.100279449087484,0.114747747184818,0.102778593814187,0.139008222988645,0.160707917637415,0.143085861517019,0.0962778537789865,0.112482716635926,0.0995154799790838,0.867281404418655,1.46019288188192,0.375940608670069,0.865964205138907,1.4630495238883,0.375567472355824,0.126838876369952,0.66482718860752,0.0937183645258391,0.175996933004698,0.916533175820415,0.130347880542025,0.121744539253061,0.630313128032565,0.0906403537950061,3.19900000000001,0.597000000000037
"11422-34","extra_heavy",500,0.798,0.979577252421611,0.409180445715872,0.431947544051948,0.945229267654448,0.602487359995262,0.282495800990003,0.939983011052674,0.606347106438172,0.284941870646326,0.081739724217701,0.186031202774635,0.119961175782988,0.122389788355755,0.275707865681149,0.174876335440317,0.091159497585617,0.202649677621387,0.126786123845914,0.75093576473852,2.82091283797598,0.447053745142534,0.757432445129697,2.79009815329692,0.450464375251649,0.114767070766583,0.750287115385234,0.0933459710359344,0.164309710708333,1.06218384255759,0.126357416980156,0.117582392418564,0.751998770246529,0.0855254330201268,3.42099999999999,0.567000000000007
"11422-35","extra_heavy",500,0.824,0.946233342552468,0.452030865505051,0.187793201721296,0.918594207301413,0.463803974805209,0.0864789947642257,0.926782701049603,0.448031274688128,0.0910998742662319,0.0913940929843587,0.168729026442705,0.117601441299647,0.130069904429781,0.241780540710212,0.164041631596177,0.0926570318746553,0.173217010422127,0.11463742160893,0.830580138294501,1.68084670278231,0.231714358466019,0.835460104389856,1.65413526810248,0.227867678101678,0.123228674071199,0.670272786997834,0.0947026082698633,0.175627177090368,0.961266255129242,0.134308122625687,0.124545584260144,0.685142515374012,0.0949577279813287,4.077,0.562000000000012
"11422-36","extra_heavy",500,0.808,0.97411748469321,0.365924605320919,0.341489677630754,1.03409793720286,0.0921677489060364,0.360317525290806,1.03510213994236,0.0914526880325256,0.357876086983024,0.08369026151451,0.0908507817720045,0.119222111740707,0.119946319592621,0.127409334339985,0.162270170453586,0.0856640928131433,0.0887687073610823,0.109409210202764,0.946147348975616,0.842171669368575,0.405301297497776,0.948578362710401,0.823725673480798,0.405633426757833,0.115143260038786,0.5664990993336,0.0934682463483264,0.161747906302882,0.806668580561221,0.131222399881047,0.113706559073198,0.574509658787686,0.092422065912123,3.01700000000005,0.575999999999965
"11422-37","extra_heavy",500,0.806,1.00785907307041,0.511691218147398,0.302792079983317,1.0580977768706,0.414736106682584,0.343094730132277,1.0644131205685,0.393051216623756,0.346169811412325,0.0904288546056737,0.255346922706899,0.111662025148149,0.127287893041452,0.369380699292346,0.153250633863528,0.0895005351477324,0.266837758269892,0.104990121657226,1.05687519387728,0.740475259009678,0.421201580294762,1.04614870235794,0.774530726582541,0.425555316880268,0.118759327978274,0.710342126595397,0.0949871108979212,0.171509070799327,1.0232719688338,0.134080728653658,0.123606178456168,0.73475664517232,0.0948345777542687,4.23900000000003,0.573999999999955
"11422-38","extra_heavy",500,0.844,0.844122372944228,0.676749687068538,0.295103639932006,0.953953693411476,0.353155271232278,0.445301329482566,0.948662172528487,0.345411109050883,0.458300746753048,0.109094786450375,0.297313824294494,0.126197320677021,0.141073123964316,0.387003661485365,0.175845439608872,0.08881403737873,0.244557123640947,0.121288418533767,0.892976190321521,0.82993598880232,0.495238891564007,0.895136254480238,0.826757956126691,0.492735921620124,0.135895929262578,0.602726980187305,0.103753383915337,0.170202242785261,0.784089128599044,0.146673046188204,0.101835736611757,0.49965180049955,0.10373325443498,4.59199999999998,0.567000000000007
"11422-39","extra_heavy",500,0.826,1.09240200962836,0.469362406249149,0.183625968838199,1.15575699444297,0.273114679443237,0.128854062370856,1.15624320622667,0.274858652898725,0.121375671827092,0.0802365833603458,0.146368613527243,0.119732667467607,0.11052503728492,0.196540528515116,0.166103614014934,0.0757197918175284,0.129310348436166,0.114092752555761,1.09664770435873,0.871489313104332,0.231507333190291,1.09673942590022,0.868966599286678,0.232917894096861,0.109594574139986,0.508966865181862,0.0912681095776057,0.144696497160678,0.676495678637485,0.127739393484808,0.0944032862969194,0.445612159108688,0.089625582808743,3.75799999999998,0.579999999999984
"11422-40","extra_heavy",500,0.842,0.956839328840887,0.52624223069364,0.25975214836967,0.962592353607901,0.520259347510202,0.176730488836025,0.954126646503339,0.540451915992551,0.168996601888641,0.0925430572931834,0.212796207208019,0.128438447964721,0.133708504983051,0.308598612982748,0.185190383818984,0.0964341666333597,0.222772204517997,0.133072338423567,0.854227975547394,1.68896255110121,0.318687359883069,0.869570433821604,1.63899338136618,0.311760367267841,0.130307159368214,0.713476636251242,0.0984333254404861,0.194685922409165,1.06157532345817,0.139559758615559,0.14401433989337,0.782139699606801,0.0988333654677868,4.404,0.58299999999997
