"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"115-37","extra_heavy",100,0.82,0.902263392845554,0.0601905573770717,0.434147854849977,0.906368161805829,0.0587912251284517,0.431119534798063
"115-38","extra_heavy",100,0.77,1.09497581715579,0.0253554009868026,0.24194132359061,1.09262838548162,0.0260825224374386,0.243154785335919
"115-39","extra_heavy",100,0.79,0.58313103258812,0.714264721130552,0.71425080438393,0.567905246250221,0.724368810942621,0.713830022700799
"115-40","extra_heavy",100,0.71,0.854819854432753,0.0120294246312436,0.494849794489035,0.855582680452175,0.010417962618107,0.495148612460252
"115-41","extra_heavy",100,0.69,1.00061676164264,-0.188422814276778,0.569788212555624,1.00681612511249,-0.231613576030668,0.574185419027041
"115-42","extra_heavy",100,0.85,0.876517465097343,0.835684369801593,0.498473649838442,0.939600324715531,0.566129288495785,0.483365707404044
"115-43","extra_heavy",100,0.75,0.355016192234056,1.85140502150702,0.377779787820021,0.353165231234941,1.88337740109994,0.381656249858525
"115-44","extra_heavy",100,0.84,0.790225625004823,0.0973698801309935,0.638813949245183,0.786764653758786,0.0967150819017728,0.640677201563778
"115-45","extra_heavy",100,0.76,1.02792279816474,0.489660640191493,-0.116671022918575,1.02315134812245,0.49194805848148,-0.119012840095986
"115-46","extra_heavy",100,0.79,0.678160072363918,0.0312557469173213,0.973301858719364,0.675006273941339,0.0325145537030909,0.975627185617928
"115-47","extra_heavy",100,0.76,1.06230397346547,0.320407393331899,0.322945470685945,1.0668131992207,0.312514407873298,0.319816334069274
"115-48","extra_heavy",100,0.76,0.976476260085655,0.975723166189005,0.0333909376804673,1.05011199140599,0.792487488453165,0.00136244889677906
"115-49","extra_heavy",100,0.75,0.634880064151993,0.390604497884229,0.635310515121535,0.623553010142006,0.392908403815938,0.634357772829347
"115-50","extra_heavy",100,0.86,0.927507458876318,0.000113522515298355,-0.303995378109174,0.925730105025238,0.000113246601308636,-0.305810058600594
