"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","alpha_drop","beta_drop","gamma_drop","se_alpha_drop","se_beta_drop","se_gamma_drop","time_weibull","time_expo","time_drop"
"11428-37","heavy",500,"weibull",0.522,0.976131986369271,0.453051432894185,0.274215620471367,0.946085792507388,0.566792077692886,0.228516029605145,0.105172843817213,0.169524286792478,0.137749462080229,0.942725333842972,0.610697177056621,0.231407147568283,0.10404146476542,0.183771227294757,0.13336922304327,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-38","heavy",500,"weibull",0.516,1.0870532211804,0.557329294623177,0.0719898170071171,1.03134089744558,0.829763164171325,0.0711657608480507,0.107702518674875,0.202482439871179,0.135812021274983,1.03671228035217,0.817913932248551,0.062010081427878,0.107682314507453,0.202286440307997,0.13525638227296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-39","heavy",500,"weibull",0.47,0.999965109421997,0.466219421049641,0.166786787559041,1.07158264672138,0.15567801184667,0.235138070076014,0.101650639490092,0.10334722611839,0.137041853565124,1.05336882640266,0.20882965436816,0.236547222932119,0.10366918695153,0.125760768293036,0.134428013419369,1.0529755153034,0.227527447080405,0.239713267353589,0.106452839433835,0.139217240023045,0.134391555630872,NA,NA,NA
"11428-40","heavy",500,"weibull",0.484,1.16956933813439,0.499223722280755,0.149240776206244,1.14386589214388,0.640564182674275,0.0783113367117578,0.107535466000639,0.204290433806635,0.143498429445106,1.12912638536604,0.682643621791604,0.0894998613058023,0.10978072663773,0.207443247923681,0.144139560804956,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-41","heavy",500,"weibull",0.484,0.908526103693361,0.545819072829546,0.263710647195412,0.905156887531853,0.604779208955265,0.27949412355797,0.111450062930822,0.209365628797102,0.136172868311872,0.899091301133554,0.611823727884392,0.287388178922708,0.112232250921512,0.214465440092466,0.135973679769839,0.893114353284025,0.647070897605951,0.30147662705075,0.116234075755921,0.231551034122422,0.138954318043496,NA,NA,NA
"11428-42","heavy",500,"weibull",0.472,0.96676036381302,0.536621416798968,0.271717774242879,0.953576556904498,0.510288607333973,0.326662945859748,0.109824268167367,0.15952816455181,0.139441939485899,0.944696143863508,0.572417077928258,0.344886021367202,0.108996146380448,0.180584078364786,0.136718046352953,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-43","heavy",500,"weibull",0.49,1.0555639056901,0.504747574299261,0.211138688292252,1.0138478349222,0.719441828139814,0.281304724949082,0.11793141228286,0.270621370400244,0.132988181033982,1.01760220977288,0.728515012919921,0.276045433402423,0.118746282237211,0.268223051994649,0.135779837744722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-44","heavy",500,"weibull",0.498,0.993797954706489,0.518018941438342,0.0208505597031771,0.984859363901346,0.566257515115106,-0.00605826105077957,0.103026624637939,0.161118270026918,0.133999963009407,0.983347298573348,0.589728975170056,-0.00345555857263266,0.103975654047465,0.16964028988792,0.135492404069675,0.976520782803884,0.621617946201908,0.0143702843868216,0.104671529066267,0.184244132035353,0.134189535160926,NA,NA,NA
"11428-45","heavy",500,"weibull",0.488,1.01883333123899,0.636591588337732,0.194523509015882,1.01835808793379,0.543134757866946,0.132973655412417,0.10391709854678,0.117034595252389,0.146662223117105,0.997320902606817,0.630016212302755,0.154486339184263,0.108206779975567,0.143706685970623,0.14598951699121,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-46","heavy",500,"weibull",0.478,0.966109281325181,0.553411098364688,0.322385584638107,0.978186986485556,0.390144321407843,0.366508684589603,0.104870200533775,0.148404302845832,0.143311702480724,0.973200128730693,0.417359142848638,0.366970796642471,0.107509587986759,0.158846101970521,0.143486502506863,0.962293034401828,0.457915466358071,0.377657402135273,0.107084436858333,0.173257419233933,0.143458396750475,NA,NA,NA
"11428-47","heavy",500,"weibull",0.462,0.946773800061933,0.482423642878077,0.303463282381385,0.91671063105204,0.663325971943776,0.316588543022267,0.101857265793308,0.216740088948457,0.131971433655571,0.915592815655301,0.665137532770653,0.321110677243777,0.105110974258271,0.221390507061974,0.134880075758332,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-48","heavy",500,"weibull",0.546,0.971750108953545,0.521867634945236,0.266603462905136,0.962580164958257,0.529327043505968,0.275624871240612,0.113245911121378,0.165114861169252,0.147420529450585,0.956293061766573,0.564259935487032,0.281664422380289,0.110971700102918,0.180724763886577,0.146965259053537,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-49","heavy",500,"weibull",0.486,1.02754169682,0.654993886312086,0.136566113498304,1.02049382913192,0.625799896409331,0.163644488306694,0.109113795324753,0.166352724543271,0.136670657864102,1.01128405760376,0.658107391234214,0.175682127501871,0.111121688895819,0.174198511374141,0.134727210584823,1.0055035145975,0.694663194049046,0.180277280795739,0.111729017358849,0.183884336183753,0.133835071335306,NA,NA,NA
"11428-50","heavy",500,"weibull",0.502,1.0265976004898,0.371379984049169,0.31967890668289,1.03293902200554,0.305577805657424,0.317348780418802,0.10089036873414,0.13877930511678,0.137295583805486,1.01408195017119,0.368088327146995,0.327512194552996,0.101254704359624,0.158981416539476,0.13494782255575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11428-51","heavy",500,"weibull",0.492,1.12112558742277,0.489646657987219,0.116131795146093,1.09879039439651,0.564607101674915,0.0845952560678242,0.10061991871623,0.147890263919642,0.137045331484665,1.08527788233267,0.622211330567669,0.103068016386187,0.101208097041226,0.163417699063262,0.135899681302586,NA,NA,NA,NA,NA,NA,NA,NA,NA
