"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull"
"11422-32","heavy",100,"normal",0.48,1.30210803296549,0.419264100702579,0.191102251436432,1.01865238210375,0.579218610550747,0.17592119335746,0.533682211829322,0.319749208569871,0.297220399061147
"11422-33","heavy",100,"normal",0.55,0.669388417371871,0.65230463891139,0.287527009082748,0.903956989498841,0.459960607685061,0.38771907744264,0.592183450313741,0.376882977213728,0.393510313252035
"11422-34","heavy",100,"normal",0.6,0.558615692490979,0.617195681316546,0.607851384802337,-0.0460488330243174,1.1112380008339,0.166466266902352,0.690702084118432,0.442745874943015,0.417371099768596
"11422-35","heavy",100,"normal",0.46,0.886739834922009,0.54559588789516,0.187747796590215,0.73473578599831,0.610537722103573,0.192267204640544,0.480496552337053,0.261430294653164,0.232808981858501
"11422-36","heavy",100,"normal",0.42,1.23198297990664,0.330202369177879,0.271240145229647,0.785520608744842,0.582948132387239,0.181548973753599,0.542582190925768,0.305906574570535,0.316323694940589
"11422-37","heavy",100,"normal",0.54,1.04917316348732,0.467658954892941,0.0724139019559221,0.868015717751983,0.579122989447956,0.0119690728116726,0.732313116897821,0.444701896389015,0.384397981950597
"11422-38","heavy",100,"normal",0.51,1.40626570197532,0.172899797081872,0.64611133852187,1.53717483402586,0.0907153869123049,0.683335814040636,0.586927639157393,0.39262364431362,0.438147530498654
"11422-39","heavy",100,"normal",0.44,0.863931149033307,0.623134669736871,0.407450932789079,0.672569982927698,0.722530219399361,0.45817930778134,0.78772180287761,0.451914001939245,0.321834324770157
"11422-40","heavy",100,"normal",0.45,1.38343880215244,0.521635027883829,-0.0082057177121868,1.33773289627378,0.544613373648303,-0.00331528417473161,0.487490366567805,0.321505041771095,0.327862544085346
"11422-41","heavy",100,"normal",0.52,1.21380802174973,0.330786242580081,0.555736071074781,1.42334472542947,0.188169409185681,0.598496158075356,0.439159737137977,0.269198299105084,0.355183811249741
"11422-42","heavy",100,"normal",0.59,1.12441394258093,0.397134166822565,0.249961418114447,1.37458147975075,0.223283075310024,0.31286140119239,0.602893133697198,0.349322782537455,0.373839141056027
"11422-43","heavy",100,"normal",0.49,1.03120335353411,0.576357975247655,-0.294700041780838,NA,NA,NA,NA,NA,NA
"11422-44","heavy",100,"normal",0.42,1.3312542324716,0.268810700092094,0.29929398525215,1.22973936296472,0.310226962399722,0.319690111055885,0.553992603103245,0.316594734444032,0.303019217066859
"11422-45","heavy",100,"normal",0.46,0.705910022792773,0.822075887652039,-0.0836079756107949,0.967585306723726,0.614187563017003,0.0396031744787669,0.512068819599189,0.293992115425283,0.315267075443362
"11422-46","heavy",100,"normal",0.5,1.02661235704714,0.547270492889642,-0.0337273437612866,1.3407074880083,0.321879052635459,0.14678014839303,0.612058495358312,0.388186812706005,0.389488147885782
"11422-47","heavy",100,"normal",0.46,0.649746625169307,0.723518885912038,0.0953495381355188,0.926572015576239,0.546269153932926,0.121303684495581,0.660567275885193,0.441970864691864,0.429236476949039
"11422-48","heavy",100,"normal",0.46,1.26279459899895,0.221096811237176,0.432317298722847,1.3220425249053,0.193209043345964,0.417309272459674,0.592905435149558,0.382924150171949,0.330495458821974
"11422-49","heavy",100,"normal",0.51,0.798360247643517,0.587476488497501,0.302638615455879,0.656002753834926,0.691759488566562,0.229890561771203,0.6626137515006,0.436375640114212,0.374553762659609
"11422-50","heavy",100,"normal",0.57,1.09771133664141,0.401931041194626,0.252768942221631,1.07001464239078,0.420013523370658,0.250047552790386,0.672841035677096,0.404239825406262,0.312704391994522
