"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull"
"11427-59","heavy",100,"weibull",0.48,0.91784653377236,0.760856885901068,0.284912604154633,0.880071932363039,0.61875958811663,0.465860832324512,0.23453847048622,0.367528003404804,0.290292713604618
"11427-60","heavy",100,"weibull",0.42,1.01377609976997,0.479933084019846,0.354861099938577,0.918181104306578,1.31076371754105,0.241648022193928,0.233002410446458,0.759934638828963,0.346187104999902
"11427-61","heavy",100,"weibull",0.56,0.996961814054811,0.594315977147474,0.554114269922066,0.931370688987768,0.729537237702023,0.501832375799785,0.240949414274008,0.386893096165616,0.279717560540911
"11427-62","heavy",100,"weibull",0.51,1.0130480455743,0.37737695140962,0.294879343924212,1.04087091402578,0.34187177779258,0.366231417624256,0.25956631065507,0.665985866478528,0.289724505071523
"11427-63","heavy",100,"weibull",0.48,1.16708740741862,0.441681691697923,-0.0234826303619723,1.12835639743008,0.585704995703241,-0.0267480751665117,0.214062101351401,0.484284522573116,0.294018803317772
"11427-64","heavy",100,"weibull",0.53,1.00055337709739,0.555339318057522,0.253897121393056,0.979604973383041,0.679733672127888,0.350212431937807,0.212836170333493,0.431139910639741,0.286199910690926
"11427-65","heavy",100,"weibull",0.43,1.03414606877793,0.393224702533101,0.194883454087835,1.05301142167816,0.396469157148076,0.166234462757438,0.19493861435049,0.410698628849699,0.305897960341148
"11427-66","heavy",100,"weibull",0.56,1.19371930582314,0.444483163351784,-0.13928397621096,1.16883881948043,0.486459588585571,-0.14342094468839,0.250410458309028,0.355180905421298,0.311142817785103
"11427-67","heavy",100,"weibull",0.49,0.894549024069453,0.42463929381068,0.648218175022815,0.748457397632293,1.01336818630119,0.687979354248654,0.267805612863817,0.644543558640282,0.296342663787704
"11427-68","heavy",100,"weibull",0.53,0.952007088931392,0.545399311254076,0.311686375327824,0.870708430115249,0.60696028621778,0.359065053149049,0.2436565959621,0.345710957911074,0.315540790567718
